Nike Global Manufacturing Data Export - Filters applied: ((none)),,,,,,,,,,,,,,,,,,
Factory Name,Product Type,"Nike, Inc. Brand(s)",Events,Address,City,State,Postal Code,Country,Operating Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Contact Name,Contact Phone,Contact Fax,Contact Email,Subcons
DRASTOSA  S.A  INDS TEXTEIS,Apparel,Nike,,"RUA LUIZ GATTI, 603",S肙 PAULO,S肙 PAULO,05038-150,Brazil,Emerging Markets,760,708,75,0.3,,,,,
HJHERING,Apparel,Nike,,"RUA RIO DE JANEIRO, 965",INDAIAL,SANTA CATARINA,89130-000,Brazil,Emerging Markets,198,175,81,0,,,,,
IBEMA INDUSTRIA DE CONFEC钦ES LTDA,Apparel,Nike,,"RUA CIANORTE, 1262",IBEMA,PARANA,85478-000,Brazil,Emerging Markets,127,126,77,0,,,,,
LUPO S.A.,Equipment,Nike,,"RODOVIA WASHINGTON LUIZ KM 276,5",ARARAQUARA,SP,14801-905,Brazil,Emerging Markets,4047,3367,80,0,,,,,
PETTENATI,Apparel,Nike,,RS 122 KM 72,CAXIAS DO SUL,RIO GRANDE DO SUL,95010.55,Brazil,Emerging Markets,775,596,86,0.3,,,,,
PETTENATI - MDC,Apparel,Nike,,"BR 116, KM 173",CAXIAS DO SUL,RIO GRANDE DO SUL,95090-050,Brazil,Emerging Markets,1310,1310,43,0.1,,,,,
RANEE INDUSTRIA E COMERCIO LTDA.,Apparel,Nike,,AV. SANTA CATARINA 766,SAO CARLOS,SANTA CATARINA,89825-000,Brazil,Emerging Markets,113,98,88,0,,,,,
STARGAMA CONFEC钦ES LTDA EPP,Apparel,Nike,,"RUA CONCEI敲O ALMEIDA, 420  -  JARDIM HELENA",S肙 PAULO,S肙 PAULO,08081- 370,Brazil,Emerging Markets,70,58,98,0,,,,,
THUNDER CAPS INDUSTRIA  E COM蒖CIO LTDA,Apparel,Nike,,"RUA LUIZ LAZARETTI, 152",VALINHOS,S肙 PAULO,13279-010,Brazil,Emerging Markets,120,108,65,0,,,,,
VANTEX FILIAL INDUSTRIA E COMERCIO DE CONFECCOES LTDA,Apparel,Nike,,"RUA DO COMERCIO, 124, JARDIM MARIA LU蚙A",CASCAVEL,PARANA,85819-520,Brazil,Emerging Markets,206,200,92,0,,,,,
VANTEX INDUSTRIAL LTDA,Apparel,Nike,,"RUA PADRE ANCHIETA, 501",CASCAVEL,PARANA,85803-740,Brazil,Emerging Markets,105,100,67,0,,,,,
SABRINA (CAMBODIA) GARMENT MANUFACTURING,Apparel,Nike,College,"NATIONAL RD. NO.4, PHUM TRAPAING REUSSEY",SAMRONG TORNG DISTRICT,KAMPONG SPEU PROVINCE,,Cambodia,Emerging Markets,4470,4410,93,0,ISABELLE CHOU,886289131415,886289131418,isabelle@sabrina.com.tw,
"SHEN ZHOU (CAMBODIA) CO., LTD",Apparel,Nike,,"BUILDING K&L,SOUN OUK SAHAKOM VATTANAC SANGKAT STUNG MEAN CHEY KHAN MEAN CHEY",PHNOM PENH,,,Cambodia,Emerging Markets,2317,2230,96,96.4,,,,,
SUCCESS INDEX GROUP (CAMBODIA) LIMITED,Apparel,Nike,,"PHUM TRAPAING CHHEUNEANG, KHUM  PEUK, SROK ANGSNOUL, KANDAL PROVINCE, CAMBODIA",,KANDAL,,Cambodia,Emerging Markets,4833,3114,94,0,,,,,
DYNAMIC TEAM SPORTS,Apparel,Nike,College,1870 BIRCHMOUNT RD,TORONTO,ONTARIO,M1P 2J7,Canada,North America,85,65,70,0,JIM WALKER,4164968600,,jim@dynamicteamsports.com,
IRONHEAD ORIGINALS INC.,Apparel,Nike,,45 IRONSIDE CRESCENT UNIT #4,TORONTO,ONTARIO,M1X 1N3,Canada,North America,4,4,75,0,,,,,
KIANGTEX CO. LTD.,Apparel,Nike,,46 HOLLINGER ROAD,TORONTO,ONTARIO,M4B 3G5,Canada,North America,63,52,84,0,,,,,
LES VETEMENTS SP APPAREL INC.,Apparel,Nike,College,1237 BOULEVARD INDUSTRIEL,GRANBY,QUEBEC,J2J 2B8,Canada,North America,110,75,85,0,SERGE BERARD,(450) 776-6111,(450) 776-6110,serge.berard@spapparel.com,
SILVER SPIDER KNITTING,Apparel,Nike,,212 SUPERTEST ROAD,TORONTO,ONTARIO,M3J 2M2,Canada,North America,26,21,76,0,,,,,
Y-BRAND ATHLETICS,Apparel,Nike,,121-2465 CAWTHRA ROAD,MISSISSAUGA,ONTARIO,L5A 3P2,Canada,North America,15,10,90,0,,,,,
"AQUA PRO INTERNATIONAL CO., LTD",Apparel,Nike,,"BUDG.8 YUANHE SCIENCE&TECHNOLOGY INDUSTRIAL PARK2,XIANGCHENG DISTRICT",SUZHOU,JIANGSU,215133,China,Greater China,35,28,70,0,,,,,
"ASIA SOCKS (HAINING) CO., LTD",Apparel,Nike,,"BUILDING B2, 5TH JINGDU ROAD, JINGBIAN INDUSTRY PARK,","HAINING, ZHEJIANG","HAINING, ZHEJIANG",,China,Greater China,40,32,80,0,,,,,
"BOU JIN (YANGZHOU) GARMENTS CO., LTD",Apparel,Nike,,"NO. 1, BAO YUEN RD., YUEYUEN INDUSTRIAL PARK, YANGZHOU",YANGZHOU,JIANGSU,,China,Greater China,1166,505,0,0,,,,,
"CHANGZHOU ESQUEL KNITTING CO., LTD",Apparel,Nike,,346-1 MIDDLE HE PING ROAD,CHANGZHOU,JIANGSU,213001,China,Greater China,766,656,90,87.8,,,,,
"CTS LOGISTICS (SHENZHEN) CO., LTD",Equipment,Nike,,"3/F ZHONG TIAN YUAN LOGISTICS CENTRE, TAO HUA ROAD",SHENZHEN GUANGDONG,GUANGDONG,518308,China,Greater China,947,651,0,138.2,,,,,
"DANYANG XINXING GARMENT CO., LTD",Apparel,Nike,,"YUN-HE TOWN, DANYANG CITY",DANYANG,JIANGSU,212352,China,Greater China,144,65,80,0,,,,,
DONG CHONG CHONG MING GLOVE FACTORY,Equipment,Nike,,"NO. 2, JIXIANG DONG ROAD, LIYE INDUSTRIAL PARK, DONG CHONG TOWN, PAN YU DISTRICT",GUANGZHOU,GUANGDONG,511453,China,Greater China,520,450,80,0,,,,,
FAIRLEGEND ELECTRONICS TTD,Equipment,Nike,,"THE 3RD INDUSTRIAL ZONE, GONG MING CITY, SHEN ZHEN, CHINA",SHENZHEN,GUANGDONG,518106,China,Greater China,450,300,90,0,,,,,
"FORMOSA FINE LEATHER GOODS CO., LTD",Apparel,Nike,,SIMA VILLAGE,DONG GUAN,GUANG DONG,523470,China,Greater China,155,126,54,120.6,,,,,
FREETREND INDUSTRIAL LTD,Footwear,Nike,,"AO-PEI VILLAGE, PAO-AN HSIANG, HENG KANG TOWN, LUNG-KANG ZONE",SHENZHEN,GUANGDONG,518115,China,Greater China,1729,1573,58,102,,,,,
"FUJIAN LIFENG FOOTWEAR CO., LTD.",Footwear,Nike,College,"NO.888# QINXI NORTH STREET, WUTANG TOWN",PUTIAN,FUJIAN,351119,China,Greater China,5887,5161,76,22.1,WEIPING YANG,86-594-399-1998,86-594-399-1113,Weiping.yang@fengtay.com,
"FUJIAN SAN FENG FOOTWEAR CO.,LTD",Footwear,Nike,College,"NO. 399, CHENGMEN STREET, CHENGMEN TOWN, CANGSHAN DISTRICTS",FUZHOU,FUJIAN,350018,China,Greater China,4478,3917,66,84.8,MARTIN HUANG,86-591-8349-7668,86-591-8349-7978,Martin.Huang@fengtay.com,
"FUQING TUNTEX GARMENT, CO. LTD (MDC)",Apparel,Nike,,"RONGQIAO INDUCTRIAL ZONE, QUINGHUNG RD",FUQING,FUJIAN,350301,China,Greater China,570,243,80,144,,,,,
HEALTHCARE TECHNOLOGY INTERNATIONAL LTD,Equipment,Nike,,"YIN YANG INDUSTRIAL ESTATE, ZHANGMUTOU,",DONGGUAN CITY,GUANGDONG PROVINCE,523620,China,Greater China,687,605,83,0,,,,,
"HEFEI TRISTATE GARMENT MANUFACTURING CO., LTD",Apparel,Nike,,"NO.2886,ZIPENG ROAD,HEFEI ECONOMIC TECHNOLOGICAL DEVELOPMENT AREA,ANHUI,CHINA",HEFEI ECONOMIC TECHNOLOGICAL DEVELOPMENT AREA,ANHUI,230601,China,Greater China,715,0,83,0,,,,,
HENG LONG GARMENT FACTORY,Apparel,Nike,,"BEIZHA, YAGANG, SANXIANG TOWN",ZHONGSHAN,GUANGDONG,528463,China,Greater China,1430,1000,60,71,,,,,
HHD APPAREL CO. LTD.,Apparel,Nike,,"SHUANGGAO RD,GOBAI INDUSTRIAL ZONE, GAOCHUN TOWN, NANJING, JIANGSO",NANJING,JIANGSU,523840,China,Greater China,144,100,69,10,,,,,
HONWAYS APPAREL (SHUYANG) LIMITED,Apparel,Nike,,"NO. 9, JIAXING ROAD EAST, SHUYANG ECONOMIC DEV ZONE",JIANGSU PROVINCE,,223600,China,Greater China,400,350,70,0,,,,,
HUAIAN YUANGTONG HEADWEAR MFG CO LTD,Apparel,Nike,,NO. 1 YAN HUANG AVENUE LIAN SHUI NEW INDUSTRIAL ZONE,HUAI AN,JIANGSU PROVINCE,223400,China,Greater China,4147,1805,80,0,,,,,
HUIZHOU FORMOSA LUGGAGE MANUFACTURING CO. LTD.,Equipment,Nike,College,"BIJIA INDUSTRIAL DISTRICT, PINHAI TOWN",HUIDONG,GUANGDONG,516363,China,Greater China,1530,1480,40,0,MRS. SU CHEN,18927313808,86-752-850-6801,suchen@formosabag.com.cn,
"JIANGXI GUANGJIA SHOES CO., LTD",Footwear,Nike,,YONGQIANG BEI ROAD,NANCHANG,JIANGXI PROVINCE,0,China,Greater China,777,653,90,3.5,,,,,
"JIANGXI GUANGYOU SHOETOWN FOOTWEAR CO., LTD.",Footwear,Nike,College,"XIANGTANG VILLAGE, XIANGTANG TOWN",NANCHANG,JIANGXI PROVINCE,330201,China,Greater China,4655,3823,77,18.2,RON CHANG,86-763-6865888,86-763-6865111/6865996,Ronchange@xc.com.cn,
JIEXI COUNTY GUOYING SPORTS ARTICLES FACTORY,Equipment,Nike,College,"HUIZHAI TOWN, JIEXI COUNTY, GUANGDONG,CHINA",JIEXI,GUANGDONG,,China,Greater China,690,630,70,9.5,TAI-MING ZHONG,0663-5766168,0663-5766536,skf.may@twnsakurai.com,
"KUNSHAN SABRINA CLOTHES MAKING CO., LTD.",Apparel,Nike,,NO.31 KONGXIANG EAST ROAD LUJIA TOWN,KUNSHAN,JIANGSU,215331,China,Greater China,875,795,89,55.5,,,,,
LONG CHUAN SIMONA FOOTWEAR CO. LTD,Footwear,Nike,,XIN CHENG LONG CHUAN,HEYUAN,GUANGDONG,517300,China,Greater China,6800,6200,81,0,,,,,
"LONG FA SHOES INDUSTRIAL (HUIZHOU) CO., LTD.",Footwear,Nike,,"LONGTING INDUS. PARK, LONGXI TOWN, BOLUO COUNTY",HUIZHOU,GUANGDONG,516121,China,Greater China,8486,7388,58,80.1,,,,,
"LONGCHUAN SOMONA FOOTWEAR CO.,LTD WUHUA BRANCH",Footwear,Nike,,SHUIZHAI INDUSTRY GARDEN,MEIZHOU,GUANGDONG PROVINCE,514400,China,Greater China,1000,880,84,0,,,,,
"LONGWAY (WEIYORK SPORTING GOODS (HUNAN YIYANG) CO., LTD",Equipment,Nike,,"A8 BUILDING, HIGH-TECH ROAD,",YIYANG,HUNAN,413000,China,Greater China,1197,1120,85,13.4,,,,,
"LONGYU SHOES(HUIZHOU)CO.,LTD",Footwear,Nike,,JIEWO ADMINISTRATIVE DISTRICT,HUIZHOU,GUANGDONG PROVINCE,0,China,Greater China,1740,1531,62,100.5,,,,,
"MANHATTAN OUTDOOR CLOTHING CO., LTD.",Apparel,Nike,,"WUSHA INDUSTRIAL ZONE, HONGJIN RD, HONGMEI TOWN",DONGGUAN,GUANGDONG,,China,Greater China,850,780,57,76.9,,,,,
MANIN INTERNATIONAL LIMITED,Apparel,Nike,,FANMU VILLAGE,DONGGUAN CITY,GUANG-DONG,523000,China,Greater China,200,175,75,0,,,,,
"NANTONG EDI - CAPS MANUFACTORY CO., LTD",Apparel,Nike,,"NO.21, TONGFU SOUTH ROAD, ECONOMIC DEVELOPMENT ZONE",NANTONG CITY,JIANGSU,,China,Greater China,170,100,79,0,,,,,
"NICE-BAG INTERNATIONAL IND CO.,LTD",Equipment,Nike,,"NO.2. HONGSHENG ROAD ECONOMIC DEVELOPMENT ZONE HUAI扐N CITY, JIANGSU PROVINCE, CHINA",HUAI AN CITY,JIANGSU,223005,China,Greater China,730,22,92,0,,,,,
"NINGBO KEJING GARMENTS CO., LTD.",Equipment,Nike,,"SHE WANG VILLAGE, CHUNHU TOWN",FENGHUA,ZHEJIANG,315506,China,Greater China,58,42,76,0,,,,,
NINGBO SHENZHOU KNITTING CO. LTD,Apparel,Nike,,50 TIANMUSHAN ROAD,NINGBO,ZHEJIANG,315800,China,Greater China,1700,1800,80,0,,,,,
NINGBO SHENZHOU KNITTING CO. LTD. -#6 GARMENT FACTORY,Apparel,Nike,College,"INTERSECTION OF DAGANG ROAD #5 ROAD & FENGYANG ROAD, DAGANG INDUSTRIAL ZONE",NINGBO,ZHE JIANG PROVINCE,315800,China,Greater China,2800,2650,77,0,ZHI FEN CHEN,86-574-86981588,86-574-86981588,qiujp@shenzhougroup.com,
"NINGBO YOUNGOR SPORTSWEAR CO.,LTD",Apparel,Nike,,"FLOOR 1, 2 AND 4,BUILDING C,YOUNGOR TEXTILE COMPLEX,NO.1 YINXIAN ROAD WEST,YINZHOU DISTRICT,NINGBO",NINGBO,ZHEJIANG,315153,China,Greater China,1112,1004,75,87.3,,,,,
NITEC EYEWEAR(DALIAN)INC.,Equipment,Nike,,YANGSHUFANG ECONOMIC DEVELOPMENT ZONE PULANDIAN,DALIAN,LIAONING,116215,China,Greater China,760,628,59,85.8,,,,,
"OKAMOTO HOSIERY (ZHANGJIAGANG) CO., LTD",Equipment,Nike,,"RENMIN MIDDLE ROAD, YANGSHE",ZHANGJIAGANG,JIANGSU,215600,China,Greater China,260,138,71,1.4,,,,,
O-TA GOLF PRODUCTS (SHENZHEN) CO LTD,Equipment,Nike,,"HUANGFENGLING INDUSTRIAL ZONE, BAO AN DISTRICT SHYRYAN TOWN  LUO ZU VILLAGE HUANG FENGLING INDUSTRIA",SHENZHEN,GUANGDONG,518108,China,Greater China,5681,5000,37,0,,,,,
PEGATRON CORPORATION,Equipment,Nike,,NO.233 JIN FENG RD. SND.JIANGSU P.R.C,SUZHOU,JIANGSU,215011,China,Greater China,132,123,42,0,,,,,
"PHITAC II  XIAMEN PHEASANT HI-TECH ALUMINIUM CO., LTD",Equipment,Nike,,"NO.3 INDUSTRIAL DISTRICT, HOUXI XINCUN, JIMEI",XIAMEN,FUJIAN,361024,China,Greater China,25,25,84,0,,,,,
"PINGHU ZHENYU LUGGAGE & BAG CO., LTD",Apparel,Nike,,"123 XINGPING ROAD, PINGHU CITY, ZHEJIANG PROVINCE, CHINA",PINGHU CITY,ZHEJIANG PROVINCE,314200,China,Greater China,195,110,65,0,,,,,
QINGDAO CHANGSHIN JIMO FACTORY,Footwear,Nike,,"#49, YANQING ROAD","JIMO, QINGDAO",SHANDONG,266200,China,Greater China,814,641,47,0.2,,,,,
"QINGDAO CHANGSHIN SHOES CO., LTD.",Footwear,Nike,,NO.6 QUANZHOU ROAD,QINGDAO,SHANDONG,266300,China,Greater China,8118,6973,89,0.5,,,,,
"QINGDAO DAYUP SPORTS CO., LTD.",Equipment,Nike,College,NORTH INDUSTRIAL ZONE,"JIMO, QINGDAO",SHANDONG,266217,China,Greater China,574,525,97,0,XINFANG WANG,86-532-8558-1503,86-532-8558-1505,zhang_jing@dayup.com.cn,
"QINGDAO DONGSUNG GOLF CO., LTD",Equipment,Nike,College,"#249 CHONGQING BEI ROAD,CHENGYANGQU",QINGDAO,SHANDONG,266108,China,Greater China,299,235,35,0,DAE IL KIM,86-532-8490-0356,86-532-8490-0360,,
"QINGDAO GIO CO., LTD.",Equipment,Nike,,"SOUTWESTTUAN IND, QIANWANGTUAN",CHENGYANG,QINGDAO,Shandong,China,Greater China,286,268,58,0,,,,,
QINGDAO HAN BEE GARMENT AND CAPS CO. LTD,Apparel,Nike,College,"LIGEZHUANG TOWN, JIAO ZHOU",QINGDAO,SHANDONG,,China,Greater China,45,25,84,0,ALEX LEE,86532-88285467,86532-8285466,alex@hkent.co.kr,
"QINGDAO TAEHWA SHOES CO., LTD",Footwear,Nike,,SHUIYUAN ROAD,LAIXI CITY,SHANDONG PROVINCE,0,China,Greater China,663,632,80,0,,,,,
"QINGDAO TAEJIN SHOES CO., LTD",Footwear,Nike,,LANCUN TOWN,JIMO CITY,SHANDONG PROVINCE,0,China,Greater China,905,839,96,0,,,,,
"QINGDAO TAEKWANG SHOES CO., LTD",Footwear,Nike,,"LIQUANGZHUANG TOWN INDUSTRIAL ZONE, LAIXI CITY",QINGDAO,SHANDONG PROVINCE,266604,China,Greater China,6999,6719,81,19.3,,,,,
"QINGDAO TENGHUA APPAREL  CO., LTD.",Apparel,Nike,,219 NORTH OF CHONG QING ROAD,QINGDAO,SHANDONG,266108,China,Greater China,643,520,70,0,,,,,
"QINGTAO  BITEER  LEATHER  PRODUCTS CO.,LTD",Apparel,Nike,,QIANDONGCHENG VILLAGE HUANXIU DISTRICT JIMO QINGDAO,QINGDAO,SHANDONG,266200,China,Greater China,256,176,64,0,,,,,
RAMATEX APPAREL (SUZHOU) LTD.,Apparel,Nike,,"115 TING NAN LU, WEI TING TOWN, SUZHOU INDUSTRIAL PARK, P.R.CHINA",SUZHOU,JIANGSU,215121,China,Greater China,605,522,92,78,,,,,
RAMATEX INDUSTRIAL (SUZHOU( LTD,Apparel,Nike,,"88 SU HONG XI LU, SUZHOU INDUSTRIAL PARK",SUZHOU,JIANGSU,215021,China,Greater China,503,428,92,90.9,,,,,
"SAKURAI ATHLETIC MFG. CO., LTD.",Equipment,Nike,,"#8, MING CHEN ROAD, SHIH CHING INDUSTRIOUS DISTRICT,PINSHAN, LUNG KANG DISTRICT",SHENZHEN,GUANGDONG,518118,China,Greater China,103,68,80,0,,,,,
SHANGGAO YISEN INDUSTRY CO. LTD.,Footwear,Nike,,"YOUZIDONG,JINGJIANG TOWN, SHANGGAO COUNTY, YICHUN CITY, JIANGXI PROVINCE,PRC",YICHUN,JIANGXI,336400,China,Greater China,12594,9980,85,2.5,,,,,
"SHANGGAO YUSHENG INDUSTRIES CO., LTD YIFENG BRANCH",Footwear,Nike,,TANGPU INDUSTRIAL ZONE,YICHUN,JIANGXI PROVINCE,0,China,Greater China,3453,2841,92,2.3,,,,,
"SHANGGAO YUSHENG INDUSTRIES CO.,LTD YICHUN BRANCH",Footwear,Nike,,ECONOMIC DEVELOPING ZONE,YICHUN,JIANGXI PROVINCE,0,China,Greater China,3393,2855,95,2,,,,,
"SHANGHAI BIG RIVER KNITWEARS CO., LTD.",Apparel,Nike,,2799 HUMIN ROAD,SHANGHAI,SHANGHAI,201109,China,Greater China,543,216,74,0,,,,,
"SHANGHAI CHANG JIANG CLOTHING ADORNMENT CO., LTD",Equipment,Nike,,"NO.639,FANGTA NORTH ROAD,SONGJIANG,SHANGHAI,CHINA",SHANGHAI,SHANGHAI,201600,China,Greater China,250,200,70,0,,,,,
"SHANGHAI FUSEN USAGI FASHION CO.,LTD.",Apparel,Nike,,"NO.18,LANE 1785,SUZHAO RD. MINHANG DIST",SHANGHAI,SHANGHAI,201114,China,Greater China,403,359,93,0,,,,,
"SHANGHAI GAOJIAN GARMENT CO.,LTD",Apparel,Nike,,"BLDG.A, NO.12, JINWEN RD.,ZHUQIAO TOWN, NANHUI DISTRICT, SHANGHAI, CHINA",NANHUI,SHANGHAI,201323,China,Greater China,927,509,83,0,,,,,
SHANGHAI KAILIAN GARMENTS FACTORY LTD.,Apparel,Nike,,"NO  348, XINTANWA ROAD, XIN CHANG TOWN, PU DONG NEW AREA , SHANGHAI, CHINA",PU DONG NEW AREA,SHANGHAI,201314,China,Greater China,1938,974,93,0,,,,,
SHANGHAI LAKULING FASHION CO LTD,Apparel,Nike,,"NO.265(E)HONGQI  ROAD,   SHANYANG  TOWN,    JINSHAN  DISTRICT",SHANGHAI,SHANGHAI,201508,China,Greater China,200,140,75,39.3,,,,,
SHANGHAI RELIABLE SOURCE INDUSTRIAL,Apparel,Nike,,"NO.88, YU LU RD,MALU TOWN,JIADING DISTRICT,SHANGHAI,CHINA",JIA DING,SHANGHAI,201801,China,Greater China,1950,1060,93,0.8,,,,,
"SHANGHAI UCHINO CO., LTD.",Equipment,Nike,,"LUDU VILLAGE, LOUTANG TOWN, JIADING",SHANGHAI,,201807,China,Greater China,1470,1177,67,0,,,,,
"SHANGHAI WANDE SPORTING GOODS CO.,LTD",Equipment,Nike,,"NO.1555, FU GANG ROAD, XI DU TOWN, FENGXIAN DISTRICT",SHANGHAI,,201401,China,Greater China,820,769,76,0,,,,,
SHANTOU YONG MAY GARMENT MFG CO.LTD.,Apparel,Nike,,"BUILDING 4&6TH, PENG ZHONG INDUSTRIAL AREA, YIN BIN SOUTH ROAD, WAISHA TOWN",SHANTOU,GUANGDONG,515023,China,Greater China,500,290,65,0,,,,,
"SHENG-LI LIGHT INDUSTRY CO., LTD.",Equipment,Nike,,"NO. 13, SHIN PU RD.",ZHANGZHOU,FUJIAN,363000,China,Greater China,300,300,77,0,,,,,
SHIXING TIAN HE GARMENTS CO. LTD.,Apparel,Nike,College,"XING SHENG INDUSTRIAL PARK. JIANG KOU TOWN, SHI XING DISTRICT",SHAO GUANG,GUANGDONG,,China,Greater China,320,300,70,0,FRANCIS YUEN,852-27413933,852-2785-4050,francis.yuen@wingluen.com.hk,
SHOETOWN (JINTAN),Footwear,Nike,,"DA WAN GANG VILLAGE, DA WAN GANG ADMINISTRATION ZONE",QINGYUAN CITY,GUANGDONG PROVINCE,0,China,Greater China,1532,1400,87,16.2,,,,,
"SINO CONCEPT GOLF MANUFACTURING CO.,LTD",Equipment,Nike,,85 XIN ZHUANG ER RD.,GUANGZHOU,"GUANGZHOU,GUANGDONG",511356,China,Greater China,470,429,44,0,,,,,
"SIRIS (GANGLONG) KNITTING CO., LTD.",Apparel,Nike,,"YUEWANG ROAD, PAOJIANG INDUSTRIAL",SHAOXING ZHEJIANG,CHINA,312085,China,Greater China,246,186,86,0,,,,,
SOLARIS PLASTIC,Equipment,Nike,,"XIN SHA IND.AREA,SOUTH OF SHA TOU,CHANG AN TOWN,DONG GUAN, GUANG DONG, CHINA",DONGGUAN,GUANGDONG,523863,China,Greater China,720,425,53,0,,,,,
"SUNNY JET TEXTILE CO., LTD",Apparel,Nike,,"NO. 9 LONGQUAN ROAD,GUANGLING INDUSTRY ZONE",YANGZHOU,JIANGSU,225003,China,Greater China,145,110,80,72.7,,,,,
"SUZHOU AIDA GLOVES CO., LTD.",Equipment,Nike,,"GANG KOU ROAD, LIU HE TOWN",TAICANG,JIANGSU,215431,China,Greater China,147,113,90,0,,,,,
SUZHOU HYTEX APPAREL CO LTD,Apparel,Nike,,"NO.18, ZHONGXIN RD., INDUSTRIAL DEVELOPMENT ZONE, SHAXI TOWN",TAICANG CITY,JIANGSU,215421,China,Greater China,353,294,76,0,,,,,
SUZHOU TAIWAY APPAREL PTE LTD,Apparel,Nike,,1280 JINFENG ROAD,"MUDU TOWN, WUZHONG SECTION",,215101,China,Greater China,910,701,90,108.4,,,,,
SUZHOU TUNTEX GARMENT INDUST CO LTD,Apparel,Nike,,"NO.15,XINGYE RD. CHENGXIANG TOWN",TAICANG,JIANGSU,215413,China,Greater China,633,339,69,168.1,,,,,
"SWIM MFG. (HEYUAN) CO., LTD",Apparel,Nike,,TECHNOLOGY 10 ROAD,HEYUAN,GUANGDONG,517000,China,Greater China,170,155,40,64.5,,,,,
"TAY HSIN (NANHAI, FOSHAN) KNITTING CO",Equipment,Nike,,"1ST SHABU WEST RD.,SHABU INDUSTRIAL DISTRICT",FOSHAN,GUANGDONG,528244,China,Greater China,413,250,77,0,,,,,
"TIANJIN URUSHIHARA FASHION ACCESSORIES CO.,LTD",Equipment,Nike,,"132,C-3,DONGTING 2ND ST TEDA, TIANJIN",TIANJIN CITY,TIANJIN,300457,China,Greater China,150,130,80,0,,,,,
TMI ZHONGSHAN CO LTD,Apparel,Nike,,"NO.48 KE JI ROAD, TORCH INDUSTRIAL DEVELOPMENT ZONE",ZHONG SHAN,GUANGDONG,528437,China,Greater China,789,673,0,0.4,,,,,
TR ELECTRONICS HK LIMITED CHINA FACTORY,Equipment,Nike,,DEZHENGDONG ROAD,"CHANGAN, DONGGUAN",GUANGDONG,,China,Greater China,186,105,85,169.5,,,,,
TRUE TEMPER,Equipment,Nike,,NO. 68 PINGSHENG RD. SIP,SUZHOU,JIANGSU,215126,China,Greater China,190,145,19,0,,,,,
"U-LINE LEATHER GOODS CO.., LTD",Apparel,Nike,,NO.2 INDUSTRIAL PARK,CHANGSHU CITY,JIANGSU,215517,China,Greater China,225,190,75,28.9,,,,,
WANWEI ELECTRONICS FACTORY,Equipment,Nike,,"CHEN TIAN INDUSTRIAL ESTATE, XIXIANG TOWN",SHENZHEN,GUANGDONG,518102,China,Greater China,83,77,67,0,,,,,
WEIHAI SAMKWANG CO.LTD,Equipment,Nike,,LIULINCUN,WEIHAI,SHANDONG,,China,Greater China,64,50,21,0,,,,,
WHAMPOA GARMENT MFG. (GUIGANG) COMPANY LIMITED,Apparel,Nike,,"WEST RIVER INDUSTRIAL PARK, GUIGANG CITY",GUANGXI,,,China,Greater China,680,550,79,0,,,,,
XIAMEN KYOUSEI SPORTING GOODS CO LTD,Equipment,Nike,,"1F#3 BUILDING,TONGXING INDUSTRIAL BUILDING,NO.39.XINCHANG ROAD",XIAMEN,FUJIAN,361026,China,Greater China,114,99,83,0,,,,,
"XIAMEN PUTIAN GARMENT CO., LTD.",Apparel,Nike,,"ROOM NO401-402 OF 4F,AND 5F,NO25 OF XINGSHENG ROAD, HULI DISTRICT,XIAMEN CHINA",XIAMEN,FUJIAN,361006,China,Greater China,370,300,88,23.3,,,,,
"XIAMEN YOUNG-TIME COMPOSITE CO.,LTD.",Equipment,Nike,,"NO.666,QIAOYING ROAD, JIMEI SECTION",XIAMEN,FUJIAN,361021,China,Greater China,161,135,25,65.9,,,,,
"XIE FENG FOOTWEAR CO,.LTD",Footwear,Nike,College,"DONG HU KOU,XI TIAN WEI TOWN,LICHENG DISTRIC",PUTIAN,FUJIAN,351131,China,Greater China,7361,6512,76,31.3,QINGXIONG CHEN,86-594-289-4210 ,86-594-286-2233,Qingxiong.chen@fengtay.com ,
"XINCHANG SHOES CO.,LTD",Footwear,Nike,,HUAFENG INDUSTRY GARDEN,XINNING,GUANGDONG PROVINCE,0,China,Greater China,3000,2700,87,11.1,,,,,
YIXING GUO FENG GARMENT,Apparel,Nike,,"#3, ZHUQIAO RD",YIXING,JIANGSU,214200,China,Greater China,690,580,80,0,,,,,
"YUANTIAN KNITTING GARMENTS CO., LTD",Apparel,Nike,College,"NO.3 SHUANGHU ER ROAD,CANGSHAN TECHNOLOGY ZONE",FUZHOU,FUJIAN,350007,China,Greater China,865,865,64,0,YUANZHANG CHEN,86-591-83486537,86-591-83468297,Vickiclee@futian-gmts.com,
YUE YUEN MANUFACTURING FACTORY,Footwear,Nike,College,"YANJIAN ROAD, GAOBU TOWN",DONGGUAN,GUANGDONG,523286,China,Greater China,24013,19362,75,116.2,JACK FERNG,86-769-88876024 x-5406,86-769-88875106,jack.ferng@pouchen.com,
"ZAO ZHUANG RUIXING SHOES CO., LTD",Footwear,Nike,,N0.3 FUXING ROAD,ZAOZHUANG CITY,SHANDONG PROVINCE,0,China,Greater China,954,823,97,0,,,,,
