"oar_id","name","address","country_code","country_name","lat","lng","contributors","ppe_product_types","ppe_contact_phone","ppe_contact_email","ppe_website","is_closed"
"TR2020084WP29F2","ALPSU TEKSTIL SAN VE TIC. LTD. STI","1171 SOK, KARAPINAR MAH. ORGANIZE SANAYI BOL., NO: 7/A ALTINORDU 52200, ORDU","TR","Turkey",40.9684411,37.9366049,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"BD20190836G4T8S","Aman Fashions & Designs Ltd","Nalam Mirzanagar Asulia Savar Dhaka","BD","Bangladesh",23.9293882,90.24349,"Next Plc (Next Plc Tier 1 Manufacturing List)|Tesco Stores Ltd (F&F Brand Milll List August 2020 )|Accord on Fire and Building Safety in Bangladesh (Factories covered by the Accord on Fire and Building Safety in Bangladesh on 4 February 2021)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Higg|Better Cotton Initiative [Public List] (Better Cotton Initiative June 2020)","","","","",""
"BD2020084EMDWPQ","AMAN TEX LIMITED","SREEPUR ROAD, BOIRAGIRCHALA 1740, GAZIPUR","BD","Bangladesh",24.1996574,90.4809098,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|One Other","","","","",""
"BD20192481KKK5Z","A.M. Design Ltd.","Dhaka - Ashuliya Highway, Diakhali, Beron, Jamgora, Ashulia, Savar, Dhaka - 1341","BD","Bangladesh",23.89692,90.3342891,"BRAC University (Mapped in Bangladesh: Export-oriented RMG Factory List Sep 2019)|Accord on Fire and Building Safety in Bangladesh (Factories covered by the Accord on Fire and Building Safety in Bangladesh on 4 February 2021)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"BD2019083M21NAK","Ananta Garments Ltd","Nischintpur Ashulia Depz Road Savar Dhaka - 1341","BD","Bangladesh",23.9269505,90.3103101,"Gap Inc (Gap Inc Facility List - September 2020)|Next Plc (Next Plc Tier 1 Manufacturing List)|Next Plc (Next Tier 1 Factory List July 2020)|WikiRate e.V. (Gap Inc. Factory List March 2017)|Accord on Fire and Building Safety in Bangladesh (Factories covered by the Accord on Fire and Building Safety in Bangladesh on 4 February 2021)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Worker Rights Consortium|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Higg|Better Cotton Initiative [Public List] (Better Cotton Initiative June 2020)|PPE: Mapped in Bangladesh (PPE: Mapped in Bangladesh)","","","","",""
"CN20200842NW11P","ANHONG BROTHERS SPORTSWEAR CO.,LTD","CHAOXIA ROAD EAST, YINGSHAN CITY SOUTH INDUSTRIAL PAR, GUANGSHUI 432700, GUANGSHUI","CN","China",30.734958,115.681258,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Higg","","","","",""
"CN2020084HAW934","ANHUI ELEGANCE INC.","WEIBA ROAD, ECNOMIC ZONE IN, HUOSHAN TOWN,LIUAN CITY 237200, LU'AN","CN","China",31.4021221,116.3829338,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"CN20200842SZ3HF","ANHUI WANGRUN GARMENT CO., LTD","TONGCHENG CITY, ECONOMIC DEVELOPMENT, ANHUI PROVINCE 231400, TONGCHENG","CN","China",31.0521813,116.9508195,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"CN2020084TDWYEG","ANHUI YIXILU CLOTHING CO.,LTD","CHUANGYE ROAD,YUXING INDUSTRY ZONE, YU AN DISTRICT 231400, LU AN","CN","China",31.737812,116.47992,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"CN2020084ER6ZKZ","ANKIE HANDBAG FACTORY","CHUN WEI INDUSTRIAL AREA, HUANG LEI 523000, DONGGUAN","CN","China",23.0337651,113.7674891,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"BD2019086M0H99Q","Anupam Hosiery Ind. (Pvt) Ltd","Vulta Rupgonj, Narayangonj, 1462, Narayangonj, Bangladesh","BD","Bangladesh",23.7838302,90.5630177,"Agreement on Sustainable Garments and Textile (AGT) (AGT 2019)|Accord on Fire and Building Safety in Bangladesh (Factories covered by the Accord on Fire and Building Safety in Bangladesh on 4 February 2021)|C&A (C&A Facility List April 2021)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Better Cotton Initiative [Public List] (Better Cotton Initiative June 2020)","","","","",""
"BD2020066EGCKH4","A-One Polar Ltd (new buildings)","Vulta, Rupgonj Narayanganj 1460 Dhaka","BD","Bangladesh",23.7838302,90.5630177,"Agreement on Sustainable Garments and Textile (AGT) (AGT 2019)|Inditex [Public List] (Inditex August 2018 Facility List)|Accord on Fire and Building Safety in Bangladesh (Factories covered by the Accord on Fire and Building Safety in Bangladesh on 4 February 2021)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Better Cotton Initiative [Public List] (Better Cotton Initiative June 2020)|ZDHC Foundation (ZDHC Registered Facilities 21 February 2020)|3 Brands/Retailers","","","","",""
"KH2019086K39CZQ","Apple Apparel (Cambodia) Co. Ltd","Phum Chumpou Voin, Sangkat Chom Chao, Khan Posenchey, 12405, Phnom Penh, Cambodia","KH","Cambodia",11.5333135,104.8246027,"WikiRate e.V. (Benetton 2016)|Matalan [Public List] (Matalan August 2019 Facility List)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Higg|A Brand/Retailer|A Multi Stakeholder Initiative","","","","",""
"RO2020084GDYQY1","ARTIFEX SRL;SC","BUCHAREST AVENUE, 12 0125300, FOSCANI","RO","Romania",44.4267674,26.1025384,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"PK2020035XNDYW0","Artistic Apparels Pvt. Ltd. (PU1)","Plot # 4, Sector 25, Korangi Industrial Area,74900,Karachi","PK","Pakistan",24.8418235,67.1389701,"Agreement on Sustainable Garments and Textile (AGT) (AGT 2019)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Better Cotton Initiative [Public List] (Better Cotton Initiative June 2020)|ZDHC Foundation (ZDHC Registered Facilities 21 February 2020)|A Brand/Retailer","","","","",""
"BD2019083P38817","Artistic Design Ltd","232-233 Narasinghpur  Savar  DhakaAshulia","BD","Bangladesh",23.8820139,90.2807868,"Next Plc (Next Plc Tier 1 Manufacturing List)|Next Plc (Next Tier 1 Factory List July 2020)|Accord on Fire and Building Safety in Bangladesh (Factories covered by the Accord on Fire and Building Safety in Bangladesh on 4 February 2021)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Better Cotton Initiative [Public List] (Better Cotton Initiative June 2020)","","","","",""
"PK2019099KMEAPE","Artistic fabric & garment industries (Pvt) ltd","Plot # 60, Sector. 15, Korangi Industrial Area 74900 Korangi Karachi Sindh","PK","Pakistan",24.8389939,67.1185699,"Gap Inc (Gap Inc Facility List - September 2020)|WikiRate e.V. (Gap Inc. Factory List March 2017)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|ZDHC Foundation (ZDHC Registered Facilities 21 February 2020)|A Brand/Retailer|A Multi Stakeholder Initiative","","","","",""
"PK20191781EJ1C5","Artistic Fabric & Garment Industries (Pvt) Ltd","Plot # 20, Sector. 17, Korangi Industrial Area Karachi Sindh 74900","PK","Pakistan",24.8433318,67.1403858,"Levi Strauss & Co. (Levi Strauss Co Facility List November 2020)|Gap Inc (Gap Inc Facility List - September 2020)|Agreement on Sustainable Garments and Textile (AGT) (AGT 2019)|Bestseller [Public List] (Bestseller Facility List December 2019)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Esprit (Esprit Facility List October 2020)|Tom Tailor [Public List] (Tom Tailor Tier 1 Facility List March 2020)|Lindex [Public List] (Lindex Manufacturing Facilities March 2020)|5 Brands/Retailers","","","","",""
"PK20191086W3JZ6","Artistic Fabric & Garment Industries (Pvt) Ltd-06","Plot# 54-A, Sector 28, Korangi Industrial Area Karachi Sindh Pakistan","PK","Pakistan",24.8463299,67.1770134,"WikiRate e.V. (Gap Inc. Factory List March 2017)|Bestseller [Public List] (Bestseller Facility List December 2019)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|A Brand/Retailer","","","","",""
"PK2019093AP2694","ARTISTIC FABRIC & GARMENT INDUSTRIES UNIT K-13","Plot # 6, 7, Sector 21 74900  Karachi Sindh","PK","Pakistan",24.853111,67.1857249,"Gap Inc (Gap Inc Facility List - September 2020)|Agreement on Sustainable Garments and Textile (AGT) (AGT 2019)|Arcadia Group (Arcadia Group Facility List December 2020)|Bestseller [Public List] (Bestseller Facility List December 2019)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Esprit (Esprit Facility List October 2020)|Kontoor Brands [Public List] (Kontoor Brands Tier 1 Facility List June 2020)|Lindex [Public List] (Lindex Manufacturing Facilities March 2020)|2 Brands/Retailers","","","","",""
"PK201908729X6TY","Artistic Milliners (Pvt) Limited. AM-15","Plot No. 12 & 13, Sector 16 Korangi Industrial Area Karachi.","PK","Pakistan",24.84279,67.1287566,"Levi Strauss & Co. (Levi Strauss Co Facility List November 2020)|Target Corporation (Target Apparel and Accessories Factory List February 2021)|Gap Inc (Gap Inc Facility List - September 2020)|Bestseller [Public List] (Bestseller Facility List December 2019)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Higg|Reformation (Reformation Facility List January 2021)|Reformation (Reformation Facility List November 2020)|Kontoor Brands [Public List] (Kontoor Brands Tier 1 Facility List June 2020)|ZDHC Foundation (ZDHC Registered Facilities 21 February 2020)|Fair Trade USA (FTUSA Certified Factory List)","","","","",""
"PK201910838Q4J8","Artistic Milliners (Pvt) Ltd Green Plant","Plot No: 2, Sector 25, Korangi Industrial Area Karachi Sindh Pakistan","PK","Pakistan",24.8413209,67.1364181,"Gap Inc (Gap Inc Facility List - September 2020)|WikiRate e.V. (Gap Inc. Factory List March 2017)|Bestseller [Public List] (Bestseller Facility List December 2019)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|A Brand/Retailer","","","","",""
"PK20190861X2F48","Artistic Milliners (Pvt.) Ltd U 04","Plot 02, Sector 25, Korangi Industrial Area","PK","Pakistan",24.8394841,67.1416093,"Levi Strauss & Co. (Levi Strauss Co Facility List November 2020)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Better Cotton Initiative [Public List] (Better Cotton Initiative June 2020)|Varner AS (Varner Oct 2020)|Fair Trade USA (FTUSA Certified Factory List)|A Brand/Retailer","","","","",""
"PK2019086GXR3JF","Artistic Milliners (Pvt.) Ltd Unit 14","Plot 21, Sector 25, Korangi Industrial Area","PK","Pakistan",24.8403099,67.1394199,"Levi Strauss & Co. (Levi Strauss Co Facility List November 2020)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Varner AS (Varner Oct 2020)","","","","",""
"PK2020085JG1H99","ARTISTIC MILLINERS PVT LTD UNIT-9","PLOT NO. E-25, SECTOR 31/D, P & T COLONY KORANGI INDUSTRIAL, AREA 79400, KARACHI","PK","Pakistan",24.8291572,67.1194406,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"IN20200847F6PA3","ARVIND CRYSTAL UNIT","CRYSTAL INDUS AND LOGISTICS PARK, UNIT NO 2A, BLOCK NO 78/80, NH 8A, VILLAGE BHAYLA 382240, AHEMDABAD","IN","India",22.7718874,72.3200636,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"ET2020079CGKYF9","Arvind Lifestyle Apparel Manufacturing PLC","Bole-Lemi Industrial Zone, Shed # 5, Woreda 11,Bole City, Addis Ababa, Ethiopia","ET","Ethiopia",8.9714501,38.856809,"Fruit Of The Loom [Public List] (Fruit of The Loom Facility List January 2020)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"IN2019087N1RBX8","Arvind Limited- Chitradurga","Survey No. 4, Kenchanakatte, Bheemasamudra Road, Opp   Davalagiri Badavane","IN","India",14.2154215,76.362784,"Levi Strauss & Co. (Levi Strauss Co Facility List November 2020)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"IN202008456ES3W","ARVIND YASHWANTPUR UNIT","NO 86, KL INDUSTRIAL SUBURB, 2ND STAGE,  YASHWANTPUR, 560022, BANGALORE","IN","India",13.0242206,77.53883479999999,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"BD2019172N6FGVH","Ashique Dress Design Ltd.","Ashique Complex, 43, Chalabon, Azampur, Uttra Dhaka Dhaka 1230","BD","Bangladesh",23.8679609,90.4173685,"Agreement on Sustainable Garments and Textile (AGT) (AGT 2019 )|BRAC University (Mapped in Bangladesh: Export-oriented RMG Factory List Sep 2019)|Accord on Fire and Building Safety in Bangladesh (Factories covered by the Accord on Fire and Building Safety in Bangladesh on 4 February 2021)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|HEMA B.V. (Hema's production location list Sept 2020)|LIDL [Public List] (LIDL Facility List April 2020)","","","","",""
"ET2020084NSVJ9D","ASHTON APPAREL MANUFACTURING PLC.","BOLE LEMI INDL ZONE, BOLE SUB CITY WAREDA 11, SHED NO 19&20 11537, ADDIS ABABA","ET","Ethiopia",8.9714501,38.856809,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"IN2020084NVQ2N5","ASIAN FABRICS (MAIN UNIT, KARUR)","1 D, PUGALUR ROAD 639001, KARUR","IN","India",10.9653096,78.080849,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"IN2020084X55Q8D","ASIAN FABRICS (SEMMADAI UNIT)","SF.NO 746/1&2,751/1&2, 747/A, B, 749, SEMMADAI , MANMANGALAM (VILLAGE) 639006, KARUR","IN","India",11.0118389,78.0688906,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"TR2019181K06R2F","Asil Tekstil - Hulya Yildirim","Mehmet Akif Ersoy Mah. Yonca Caddesi No.2 Ciftlikkoy / Yalova","TR","Turkey",40.662982,29.31899,"Debenhams [Public List] (Debenhams Facility List December 2018)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"TR20200840FGASR","ASLAN TEKSTIL SUBE","NO:2/1, NIKSAR ORGANIZE SANAYI KILICARSLAN 60600, TOKAT","TR","Turkey",40.590159,36.951185,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"BD201924856NNVG","Aswad Composite Mills Ltd.","Kabirpur, Ashulia, Savar, Dhaka - 1345","BD","Bangladesh",24.0153083,90.250352,"BRAC University (Mapped in Bangladesh: Export-oriented RMG Factory List Sep 2019)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|One Other","","","","",""
"IN2020016E59F8N","ATLANTIC APPARELS - II","PLOT NO.28 D & 28 - E, BELVADI INDUSTRIAL AREA, MYSORE, Karnataka, 570018","IN","India",12.1397414,76.6666753,"Columbia Sportswear Co. [Public List] (Columbia Sportswear Co. Facility List July 2019)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"IN20200858R0ZRZ","ATLAS EXPORT ENTERPRISES","SF NO.128, 130, 132 & 135, A3&A4, KARUR TEXTILE PARK, THALAPATTI PO 639003, KARUR","IN","India",10.8873567,78.0088357,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Higg|LIDL [Public List] (LIDL Facility List April 2020)","","","","",""
"TR2020084EAW4YC","ATUGBA TEKSTIL VE KONFEKSIYON A.S.","ERENLER OSB MAH. CUMHURIYET BULVARI, NO:27/1 MERKEZ AKSARAY 68220, AKSARAY","TR","Turkey",38.377051,34.005362,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Marks & Spencer [Public List] (Marks & Spencer Facility List January 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|River Island (River Island Tier 1 Facility List September 2020)","","","","",""
"TR2020084F0TJG1","AURON TEKSTIL TURIZM SAN. TIC. LTD.","32. CADDE, KAHTA OSB NO.1, KAHTA 02402, ADIYAMAN","TR","Turkey",37.804367,38.568921,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
