,QLabel
does the employer pay workers correctly for all ordinary overtime hours worked,1855
does the employer pay at least minimum wage for ordinary hours of work to regular full time workers,1824
is the workplace adequately ventilated,1809
does the employer comply with shift work requirements,1804
does the employer comply with requirements for temporary transfers of workers to new work,1802
does the employer keep a record of workers under 18 years of age,1802
has the employer implemented all provisions of the collective agreement(s) in force,1802
"does the employer regularly inspect and maintain machines, equipment, buildings and stores",1802
do disciplinary measures comply with legal requirements,1802
does the employer develop an osh plan annually,1802
"do workers who are under age 18 work overtime, at night, or allow to work more hours than allowed by law",1802
does the employer pay workers correctly for all overtime hours worked on weekly rest days,1802
does the employer consider a job applicant's union membership or union activities when hiring,1802
does the employer comply with national law concerning dispatched workers at the workplace,1802
does the workplace provide all workers a place to store their clothes,1802
does the employer pay workers for legally mandated paid public holidays,1802
does the employer conduct at least one emergency drill per year,1802
does the employer pay for paternity leave when required,1802
does the workplace have sufficient onsite medical facilities and staff,1802
"have any workers been bullied, harassed or subject to humiliating treatment",1802
has the employer tried to prevent workers from participating in a strike,1802
are emergency exits and escape routes clearly marked,1802
do the internal work rules comply with national law,1802
does the employer comply with daily break periods,1802
have you found that religion or political opinion is a factor in the employer's decisions regarding termination or retirement of workers,1802
is the temperature in the workplace acceptable,1802
does the employer pay wages on time and pay interest in case of late payment,1802
does the employer provide required time off for breastfeeding breaks,1802
do entitled workers receive full average monthly wages and maternity allowance of two month's minimum wage,1802
do pregnant workers receive correct payment when they take time off for prenatal care,1802
does the employer pay at least 7% higher than the applicable legal minimum wage for ordinary hours of work to workers who have received vocational training,1802
"are there at least 2 possible exits for all workers, where required",1802
does the employer adequately protect pregnant or nursing workers against safety and health risks,1802
does the employer comply with requirements when workers have occupational accidents and diseases,1802
does the employer provide required leave for personal reasons,1802
does dialogue at the workplace take place in compliance with legal requirement,1802
do workers use the personal protective equipment that is provided,1802
"has the employer called security guards, the police or armed forces to break up a peaceful strike or arrest striking workers",1802
has the employer made the collective bargaining agreement publically available to all workers,1802
has the employer developed and trained workers on an emergency evacuation plan,1802
is the gender or marital status of a worker a factor in decisions regarding pay,1802
do workers use the machines and equipment in a safe manner,1802
do workers receive correct payment during sick leave and other types of leave that are covered by social insurance,1802
are workers harassed on the basis of their religion or political opinion,1802
does the employer comply with yearly limits on overtime hours worked,1802
has the employer made required accommodations for physically disabled workers,1802
does the employer comply with the entitlement to sick leave and other types of leave that are covered by social insurance,1802
does the employer keep an inventory of hazardous chemicals used in the workplace,1802
does the employer comply with the law on hiv/aids prevention and control,1802
are workers effectively trained on occupational health and safety,1802
does the employer comply with size requirements for escape routes,1802
does the employer pay workers correctly for personal leave,1802
does the employer require pregnancy tests or use of contraceptives as a condition of employment,1802
does the employer ensure that workers have on average at least 4 rest days per month when weekly rest is not possible,1802
does the employer pay workers correctly for legally required annual leave,1802
does the employer pay women workers for 30 minutes rest per day during their periods,1802
does the employer comply with daily limits on overtime hours worked,1802
does the employer allow workers to take 30 minutes rest during their period,1802
has the employer set up a properly functioning osh collaborators network,1802
is the grassroots level union in the factory involved in the bargaining process at the enterprise level,1802
has the collective agreement in force been approved by more than 50% of workers covered,1802
does the employer comply with the entitlement to paternity leave,1802
does the employer provide the trade union with the necessary facilities and time to enable it to carry out its activities,1802
does the employer comply with the entitlement to maternity leave,1802
does the employer comply with requirements regarding canteen,1802
does the employer unilaterally terminate workers for reasons that are not allowed by law,1802
does the employer force workers to continue working when they have refused to work due to clear imminent and serious danger to their life or health,1802
"does the employer pay workers who are not covered by compulsory social insurance the employer's contribution for social, health and unemployment insurance",1802
"do the contracts comply with the labour law, collective agreement and work rules",1802
"does the employer comply with legal requirements before reducing the size of the workforce or suspending workers' contracts due to changes in structure, technology or economic reasons",1802
does the employer pay apprentices the wage agreed to by the parties,1802
does the employer comply with requirements for apprentices,1802
are there appropriate safety warnings posted in the workplace,1802
does the workplace have adequate hand washing taps,1802
does the employer conduct risk assessment,1802
does the employer keep updated records of work-related accidents and diseases,1802
is the noise level in the workplace acceptable,1802
is the gender or marital status of a worker a factor in decisions regarding opportunities for promotion or access to training,1802
"does the employer refuse to bargain collectively in accordance with legal requirements, or refuse to bargain in good faith with the union, workers representation, union federation or confederation",1802
does the employer pay workers for one hour breastfeeding break per day,1802
does the employer keep chemical safety records for the hazardous chemicals used in the workplace,1802
does the employer pay workers correctly for all overtime hours worked on public holidays,1802
does the employer pay at least 85% of the wage paid to other workers for the same job for ordinary hours of work to probationary workers,1802
is the gender or marital status of a worker a factor in decisions regarding conditions of work,1802
does the employer comply with national laws regarding wage deductions,1802
are periods of maternity leave included in a worker's period of continuous service,1802
does the employer dismiss workers for reasons that are not allowed by law,1801
does the employer settle all the payments within seven working days after termination of the labour contract,1775
has the employer terminated a union official without the written agreement of the union board or the higher-level union,1775
"if there is a collective agreement, does it provide more favorable terms and conditions for workers than the law",1775
does the employer comply with legal requirements related to work subject to strict occupational safety requirements,1679
does the employer comply with requirements regarding severance pay and job-loss allowance,1679
do resigned or terminated workers receive correct wage for all days worked and other termination benefits required by law,1679
"are electrical wires, switches and plugs properly installed, grounded, and maintained",1645
does the accommodation have adequate cooking and storage facilities,1581
is the accommodation adequately lit,1581
"do regular working hours exceed 10 hours per day, or 48 hours per week",1555
does the employer comply with monthly limits on overtime hours worked,1555
does the employer pay at least the legal minimum wage for ordinary hours of work to regular full time workers who perform the simple work under normal conditions,1555
does the employer inspect and measure the environmental conditions in the workplace on an annual basis,1555
has the employer effectively trained workers and supervisors who work with or are responsible for hazardous chemicals,1553
are pregnant workers provided with time off for prenatal visits,1553
does the workplace have an adequate eating area,1552
does the employer provide required annual leave to workers,1452
has the employer taken legally required measures to protect workers from falls from heights,1445
has the employer provided workers with other ppe when necessary,1441
has the employer provided workers who work with chemical substances with proper clothing and personal protective equipment when necessary,1441
has the employer provided workers with dust masks when necessary,1441
has the employer provided workers with ear plugs when necessary,1441
has the employer provided workers with necessary ppe to protect against wet processes when necessary,1441
has the employer provided workers with metal gloves when necessary,1441
does the employer pay workers correctly during work stoppages,1417
"are the emergency exits inaccessible or obstructed during working hours, including overtime",1350
are guards properly installed and maintained on all dangerous machines and equipment,1350
has the employer taken steps to manipulate the union or to bring the union(s) under its control,1350
does the employer pay all workers who work regularly the correct attendance bonus during leave legally required by law,1350
does the workplace have adequate fire-fighting equipment that is within easy reach of workers,1350
is there an adequate osh policy that is signed by top management,1350
has the employer failed to implement any of the provisions of the collective agreement(s) in force,1338
does the workplace have a functioning fire detection and alarm system,1328
"does the employer collect and forward workers' contributions and pay the legally required employer contributions to social, health and unemployment insurance funds on time",1328
"has the employer taken actions to effectively assess, monitor, prevent and/or limit workers' exposure to hazardous chemicals",1328
are proper guards installed and maintained on all dangerous moving parts of machines and equipment,1306
has the employer set up a properly functioning unit in charge of osh and/or osh council,1252
"does the accommodation have adequate safe water, toilets, showers, sewage and garbage disposal systems",1252
do workers receive free periodic health checks as required by law,1252
does the employer pay piece rate workers correctly for ordinary hours of work,1249
do job announcements refer to the applicant's gender or marital status,1242
"do the operators / technicians for boiler, generator, compressor, and pressure vessels have legally required permit and training",1237
does the workplace have a functioning and accessible nursing room,1230
does the workplace have a functioning day care centre or pay childcare costs of women employees,1230
"does the employer have the legally required permits for the installation and operation of boiler, generator, compressor, and pressure vessels",1197
does the employer comply with legal requirements regarding medical checks for workers,1175
does the employer pay all workers who work regularly the correct attendance bonus when workers take sick leave,1153
does the employer provide workers with paid time off for breast-feeding during working hours as required by law,1153
does the employer pay all workers who work regularly the correct attendance bonus when workers take special leave,1153
does the employer provide workers one hour of paid time off per day for breast-feeding,1153
are guards properly installed and maintained on all dangerous moving parts of machines and equipment,1153
does the employer address safety and health risks to pregnant workers or workers are nursing,1153
does the workplace have adequate fire-fighting equipment and within easy reach of workers,1153
does the employer pay all workers who work regularly the correct attendance bonus when workers take annual leave,1153
has the employer taken steps to bring the union(s) under its control,1153
"does the workplace have a functioning and accessible nursing room, and a functioning day care centre at or near the workplace",1153
are piece-rate workers paid correctly for ordinary hours of work,1153
does the employer pay regular workers at least minimum wage for ordinary hours of work,1153
"are the emergency exits inaccessible and obstructed during working hours, including overtime",1141
does the employer provide workers with time off for breast-feeding during working hours,1141
"are the emergency exits accessible, unobstructed and unlocked during working hours, including overtime",1113
does the employer comply with legal requirements related to machines and equipment subject to strict occupational safety requirements,1109
does the employer pay workers correctly for the one hour of paid time off per day for breastfeeding,1106
"have you found non-compliance with legal requirements for compensation, contracts, osh and/or working time pertaining to non-production workers and/or sub-contracted workers",1091
does the employer address safety and health risks to pregnant workers or workers who are nursing,1083
is the gender or marital status of a worker a factor in employer decisions regarding termination or retirement of workers,1081
"are any of the emergency exits or escape routes inaccessible, obstructed, or locked during working hours, including overtime",1081
"does the employer terminate workers due to the worker's pregnancy, maternity leave, or breast-feeding of a child under 12 months of age or force them to resign",1054
does the employer comply with requirements on hiv/aids,970
does the employer address safety and health risks to pregnant or nursing workers,864
"if there is a collective bargaining agreement, are the provisions at least as favourable for workers as the law",860
are wages paid on time,840
does the employer compensate workers for unused paid annual leave and other legally required termination/resignation benefits,833
"does the employer provide workers with pre-assignment, annual and special medical checks when required",833
"do workers who are under age 18 perform work that is hazardous by nature, or do they work in a hazardous working environment",833
does the employer provide round trip transport for female workers who work between 11 p.m. and 5 a.m,833
does the employer hire one disabled worker for every 100 workers,833
does the employer pay workers the religious holiday allowance,833
does the employer provide adequate first-aid facilities,833
do workers pay any recruitment fees,833
do the work agreements specify the terms and conditions of employment,833
"does the employer address safety and health risks to female workers, including to pregnant or nursing workers",833
do the attendance records reflect the hours actually worked,833
"if there is more than one union, does the employer treat them as stipulated by national law",833
does the employer pay higher than district minimum wage for ordinary hours of work to permanent (pkwtt) and non-permanent workers (pkwt) who have worked for more than 1 year,833
is an applicant's gender a factor in recruitment or hiring,833
"does the employer provide meals and drinks of at least 1,400 calories to workers working overtime for 3 hours or more",833
"does the employer have chemical safety data sheets for the hazardous chemicals used in the workplace, and are the chemicals properly labelled",833
"does the employer pay workers correctly when they take time off for personal/ family matters, as required by national law",833
did the employer consult with workers/ unions when legally required,833
does the employer ensure the building is safe and maintain legally required permits,833
does the employer pay workers correctly when they feel pain during the first two days of menstruation and they notify the employer,833
does the employer have the required certificates for the installation/ operation of electrical installations and other machines and equipment,833
does the workplace have adequate accessible toilets (separated by sex),833
does the factory have a functioning bipartite cooperation institution,833
does the employer keep only one accurate payroll record/ book,833
does the employer pay workers correctly during annual leave,833
has the employer appointed and trained a fire management team,833
has the employer trained all workers who work with chemicals and hazardous substances,833
does the employer provide adequate lockers for workers to store their personal belongings,833
"does the employer pay workers correctly during breastfeeding breaks, as required under the work agreements, company regulations or collective agreement",833
has the employer appointed a chemical officer,833
does the employer pay the correct district minimum wage for ordinary hours of work to permanent full time workers (pkwtt),833
has the employer failed to implement any of the provisions of the collective bargaining agreement in force,833
does the employer have a verification system in place to ensure they do not hire child labour in accordance with the national law,833
"does the employer inform workers about the contents of the collective bargaining agreement, and provide workers the text of the agreement",833
do the company regulations comply with legal requirements as stipulated in the labour law and regulations,833
are noise levels measured by the employer and in line with applicable standard,833
"does the employer comply with limits on the use of work agreements for a specified period of time (i.e., limits on the employment of non-permanent workers)",833
has the employer taken steps to accommodate disabled workers in accordance with the type and extent of their disabilities,833
"do regular daily and weekly working hours exceed legal limits (40 hours per week; 7 hours a day, 6 days a week or 8 hours per day, 5 days a week)",833
are all workers trained and obligated to use machines and equipment safely,833
does the employer allow workers to take time off when they are sick,833
is the probationary period applied only to permanent workers (pkwtt) and for no longer than 3 months,833
"is the workplace climate measured by the employer, and in line with applicable standards",833
do the operators/ technicians/ officers responsible for machinery/ equipment/ installations/ lifting equipment have the required license,833
do workers who are under age 18 work overtime or work at night,833
"is applicant's race, color or origin a factor in recruitment or hiring",833
does the workplace have adequate trained first aid officers,833
has the employer ensured that there are a sufficient number of readily accessible first aid boxes/ supplies in the workplace,833
does the employer allow workers to take time off for paternity/ personal or family matters as required by national law,833
does the employer provide 12 days of annual leave per year,833
does the employer prepare written instructions on overtime,833
are workers given the opportunities required under law to defend themselves before they are terminated,833
does the employer comply with documentation requirements for workers under age of 18,833
"do the work agreements comply with company regulations, the collective labour agreement, and prevailing laws and regulations",833
does the employer provide nutritious food and drinks to female workers who work between 11 p.m. and 7 a.m,833
"does the employer deduct union dues from wages when union and workers request this, or allow unions to collect dues directly from their members",833
does the employer comply with requirements regarding severance pay and reward for service,833
"is overtime limited to 3 hours per day, 14 hours per week",833
does the employer give a copy of the work agreement in bahasa to workers,833
can female workers take time off when they feel pain during the first two days of menstruation and they notify the employer,833
does the employer allow workers to carry out trade union activities during working hours as agreed by both parties,833
are all workers trained and obliged to use the personal protective equipment that is provided,833
does the employer provide opportunities for breastfeeding breaks,833
does the employer record and report work-related accidents and diseases to the local manpower office,769
has the employer performed initial and regular reviews of occupational safety and health issues in the factory,769
does the employer pay workers correctly for all overtime hours worked on regular working days,769
does the factory have an osh committee,769
"has the employer taken action to assess, monitor, prevent and limit workers' exposure to chemicals and hazardous substances",747
"if there is more than one union, does the employer treat them equally or as stipulated by national law",745
does the employer keep a register of workers under 18 years of age,745
"are any of the emergency exits inaccessible, obstructed, or locked during working hours, including overtime",721
do job announcements refer to the applicants gender or marital status,721
is age a factor in decisions regarding opportunities for promotion or access to training,721
do recruitment materials such as job announcements or job application forms refer to age in a manner that could discourage older workers from applying,721
"does the employer terminate workers due to the worker's pregnancy, maternity leave, marriage, or breast-feeding of a child under 12 months of age or force them to resign",721
is an applicant's age a factor in hiring decisions,721
is the gender or marital status of the worker a factor in employer decisions regarding termination or retirement of workers,721
does the employer comply with requirements regarding severance pay,707
does the employer provide required daily break periods,703
have you found any workers under the age of 14,703
are the provisions of the collective agreement at least as favourable for workers as the law,701
"does the employer comply with legal requirements related to machines, equipment subject to strict occupational safety requirements",693
does the employer comply with limits on overtime hours worked,685
does the employer pay workers correctly during breastfeeding breaks,640
does the workplace have required onsite medical facilities and staff,635
are the temperature and ventilation in the workplace acceptable,630
has the employer provided all workers with a letter of appointment,584
does the employer provide required time off for maternity leave,584
does the employer provide compulsory group insurance for workers,584
does the employer provide the collective bargaining agent with an office at the workplace,584
does the employer provide required annual leave,584
does the employer pay terminated workers their outstanding wages within 7 working days of termination,584
does the employer get written consent from women to work at night,584
do workers have at least one day off per week,584
is the workplace overcrowded,584
does the employer provide required health facilities and staff,584
"are workers effectively trained and encouraged to properly use personal protective equipment, machines and equipment",584
does the employer inform workers about overtime at least 2 hours in advance,584
does the employer pay the correct compensation in the event of a worker's death,584
does the employer provide 14 days of sick leave per year,584
do workers who are under age 18 work more hours than allowed and/or work at night (between 7.00 p.m. and 7.00 a.m.),584
does the factory have a functioning safety committee,584
does the employer pay workers on time and correctly when they take maternity leave,584
"are the emergency exits and escape routes accessible, unobstructed and unlocked during working hours, including overtime",584
are workers paid on time at least once a month on working days,584
does the employer provide 10 days of casual leave per year,584
does the employer provide compensatory days off when workers work on weekly rest days,584
does the employer pay workers correctly during casual leave,584
does the employer comply with requirements regarding the certificate of fitness for workers under age 18,584
does the workplace have adequate accessible toilets and washrooms,584
does the workplace have adequate shelters or rest rooms,584
does the workplace have adequate stairways that can be used in case of emergency,584
"do the letters of appointment comply with the labour law, collective agreement and service rules",584
"does the employer pay at least minimum wage for ordinary hours of work to temporary, probationary, badli, and casual workers",584
does the employer pay workers correctly for festival holidays (including compensatory festival holidays when workers work on festival holidays),584
does the employer pay piece rate workers correctly for all overtime hours worked on regular work days,584
does the employer record work-related accidents and diseases and inform the governmental authorities as required by law,584
does the factory have a functioning participation committee,584
does the employer pay the required stipend for ordinary hours of work to apprentices,584
does the workplace have adequate day care facilities,584
does the employer pay at least minimum wage for ordinary hours of work to permanent full time workers,584
does the employer comply with requirements regarding union dues deduction and deposit in the union's account,584
does the employer provide workers with wage slips prior to paying wages,584
do the letters of appointment specify the terms and conditions of employment,584
"do regular daily or weekly working hours exceed the legal limit (8 hours per day, 48 hours per week)",584
does the employer comply with requirements concerning sub-contracted workers at the workplace,580
"has the employer trained workers on fire fighting and rescue, formed fire fighting and rescue teams, and appointed a trained fire and rescue officer",566
"does the employer pay all workers other than piece rate workers double for all overtime hours worked after working 8 ordinary hours in one day, and/or 48 ordinary working hours in one week",566
are there enough adequate emergency exit doors,566
"does the workplace have an adequate lunch room, and/or canteen",566
"has the employer appointed an officer trained in firefighting, rescue and first aid",566
does the employer consult with worker representatives where legally required,566
does the employer provide workers at least 11 festival holidays per year (or compensatory and substitute holidays when workers work on festival holidays),566
are the workers' participation and welfare funds used and distributed as required,566
"does the employer comply with legal requirements before laying off workers due to force majeure, and before retrenching workers due to redundancy",566
does the employer pay workers two festival bonuses per year,566
does the employer provide workers their provident funds when they resign or are terminated? (if applicable),566
"do all workers (other than apprentices, substitute/badli or casual workers) have a service book",566
has the employer trained workers on first aid and formed a first-aid team,566
"has the employer properly established a workers' participation fund and welfare fund, and paid the required amount into the funds each year",566
does the employer comply with national policy on hiv/aids,566
does the workplace have at least one adequate window exit per floor,566
"do workers who are exposed to work-related hazards, are disabled, juvenile and/or elderly receive free periodical health checks every 6 months",550
"does worker accommodation have adequate toilets, showers, sewage and garbage disposal systems",550
has the employer set up a properly functioning unit in charge of osh and/or labour protection council,550
does the employer pay workers their outstanding wages and the correct seniority indemnity for dismissal,502
does the employer comply with the legal limit on the use of fixed term contracts,502
does the employer pay workers correctly during maternity/miscarriage leave,480
does the employer provide required occupational health services,480
"does the employer comply with all requirements related to national healthcare funds (bpjs kesehatan), including registering workers, paying employer contributions, and collecting and forwarding workers’ contribution",480
"does the employer comply with all requirements related to national social insurance (bpjs ketenagakerjaan), including registering workers, paying employer contributions, and collecting and forwarding workers' contributions",480
are solid flammable materials safely stored,480
does the employer comply with legal requirements the practice of apprentices in the workplace,480
does the employer comply with legal requirements relating to outsourced workers,480
