QuestID,Country,year,FactoryAssessedID,buyer1name,buyer2name,buyer3name,,buyer1BW,buyer2BW,buyer3BW
21357,Jordan,2017,8,Walmart,Kmart,Russell Corporation,,,,
28278,Jordan,2018,8,Walmart,Kmart,Russell Corporation,,,,
35827,Jordan,2019,8,Walmart,Kmart,Russell Corporation,,,,
40097,Jordan,2020,8,Walmart,Kmart,Russell Corporation,,,,
8714,Jordan,2015,14,Gap,Ralph Lauren,Land's End,,,,
14705,Jordan,2016,14,Gap,Ralph Lauren,Land's End,,,,
19780,Jordan,2017,14,Gap,Ralph Lauren,Land's End,,,,
26771,Jordan,2018,14,Gap,Ralph Lauren,Land's End,,,,
33480,Jordan,2019,14,Gap,Ralph Lauren,Land's End,,,,
39541,Jordan,2020,14,Gap,Ralph Lauren,Land's End,,,,
42773,Jordan,2021,14,Gap,Ralph Lauren,Land's End,,,,
8200,Vietnam,2015,15,Rock Revival & Miss Me,Olymp,Pacific Sunwear,,,,
17779,Vietnam,2016,15,Rock Revival & Miss Me,Olymp,Pacific Sunwear,,,,
26358,Vietnam,2018,15,Rock Revival & Miss Me,Olymp,Pacific Sunwear,,,,
33186,Vietnam,2019,15,Rock Revival & Miss Me,Olymp,Pacific Sunwear,,,,
39357,Vietnam,2020,15,Rock Revival & Miss Me,Olymp,Pacific Sunwear,,,,
9733,Vietnam,2015,16,Nike,Carter's,Gear For Sport,,,,
15556,Vietnam,2016,16,Nike,Carter's,Gear For Sport,,,,
22768,Vietnam,2017,16,Nike,Carter's,Gear For Sport,,,,
30141,Vietnam,2018,16,Nike,Carter's,Gear For Sport,,,,
37022,Vietnam,2019,16,Nike,Carter's,Gear For Sport,,,,
40556,Vietnam,2020,16,Nike,Carter's,Gear For Sport,,,,
11637,Haiti,2015,18,,,,,,,
14410,Haiti,2016,18,,,,,,,
9622,Haiti,2015,24,ICAT de CV,,,,,,
14606,Haiti,2016,24,ICAT de CV,,,,,,
21537,Haiti,2017,24,ICAT de CV,,,,,,
28943,Haiti,2018,24,ICAT de CV,,,,,,
35107,Haiti,2019,24,ICAT de CV,,,,,,
41713,Haiti,2021,24,ICAT de CV,,,,,,
9992,Haiti,2015,28,Dickies,Fishman Tobin,Strategic Patners  (SPI),,,,
15233,Haiti,2016,28,Dickies,Fishman Tobin,Strategic Patners  (SPI),,,,
20026,Haiti,2017,28,Dickies,Fishman Tobin,Strategic Patners  (SPI),,,,
27360,Haiti,2018,28,Dickies,Fishman Tobin,Strategic Patners  (SPI),,,,
34961,Haiti,2019,28,Dickies,Fishman Tobin,Strategic Patners  (SPI),,,,
41809,Haiti,2021,28,Dickies,Fishman Tobin,Strategic Patners  (SPI),,,,
9868,Haiti,2015,29,,,,,,,
10030,Haiti,2015,31,Peace Textile Amercia Inc,BIOWORLD,Kohl's,,,,
15576,Haiti,2016,31,Peace Textile Amercia Inc,BIOWORLD,Kohl's,,,,
21199,Haiti,2017,31,Peace Textile Amercia Inc,BIOWORLD,Kohl's,,,,
29065,Haiti,2018,31,Peace Textile Amercia Inc,BIOWORLD,Kohl's,,,,
34890,Haiti,2019,31,Peace Textile Amercia Inc,BIOWORLD,Kohl's,,,,
9530,Haiti,2015,33,Gildan,,,,,,
14358,Haiti,2016,33,Gildan,,,,,,
20301,Haiti,2017,33,Gildan,,,,,,
29004,Haiti,2018,33,Gildan,,,,,,
35668,Haiti,2019,33,Gildan,,,,,,
12894,Haiti,2015,35,,,,,,,
12665,Haiti,2015,36,Levis,Under armour,Carhartt,,,,
17654,Haiti,2016,36,Levis,Under armour,Carhartt,,,,
26954,Haiti,2018,36,Levis,Under armour,Carhartt,,,,
33353,Haiti,2019,36,Levis,Under armour,Carhartt,,,,
39334,Haiti,2020,36,Levis,Under armour,Carhartt,,,,
8197,Haiti,2015,36,,,,,,,
13317,Jordan,2016,39,Under Armour,Nike,Spanx,,,,
17500,Jordan,2016,39,Under Armour,Nike,Spanx,,,,
22762,Jordan,2017,39,Under Armour,Nike,Spanx,,,,
9626,Haiti,2015,43,Fishman & Tobin,Augusta/Holloway,Champro/Eastbay,,,,
17216,Haiti,2016,43,Fishman & Tobin,Augusta/Holloway,Champro/Eastbay,,,,
24033,Haiti,2017,43,Fishman & Tobin,Augusta/Holloway,Champro/Eastbay,,,,
30421,Haiti,2018,43,Fishman & Tobin,Augusta/Holloway,Champro/Eastbay,,,,
35820,Haiti,2019,43,Fishman & Tobin,Augusta/Holloway,Champro/Eastbay,,,,
12535,Jordan,2015,48,Jones Apparel,Supreme International,Perry Ellis,,,,
18022,Jordan,2016,48,Jones Apparel,Supreme International,Perry Ellis,,,,
23418,Jordan,2017,48,Jones Apparel,Supreme International,Perry Ellis,,,,
30877,Jordan,2018,48,Jones Apparel,Supreme International,Perry Ellis,,,,
37492,Jordan,2019,48,Jones Apparel,Supreme International,Perry Ellis,,,,
43045,Jordan,2021,48,Jones Apparel,Supreme International,Perry Ellis,,,,
10518,Vietnam,2015,49,Eddie Bauer,Abercrombie & Fitch,,,,,
16667,Vietnam,2016,49,Eddie Bauer,Abercrombie & Fitch,,,,,
25034,Vietnam,2018,49,Eddie Bauer,Abercrombie & Fitch,,,,,
32722,Vietnam,2019,49,Eddie Bauer,Abercrombie & Fitch,,,,,
39172,Vietnam,2020,49,Eddie Bauer,Abercrombie & Fitch,,,,,
10903,Vietnam,2015,50,Target,Carter's,Land's End,,,,
18144,Vietnam,2017,50,Target,Carter's,Land's End,,,,
25013,Vietnam,2018,50,Target,Carter's,Land's End,,,,
8585,Vietnam,2015,51,American Eagle,Jockey,Charlotte Russe,,,,
15134,Vietnam,2016,51,American Eagle,Jockey,Charlotte Russe,,,,
24475,Vietnam,2017,51,American Eagle,Jockey,Charlotte Russe,,,,
38214,Vietnam,2020,51,American Eagle,Jockey,Charlotte Russe,,,,
41665,Vietnam,2021,51,American Eagle,Jockey,Charlotte Russe,,,,
10970,Vietnam,2015,53,Gap,Target,Kohl's,,,,
17752,Vietnam,2016,53,Gap,Target,Kohl's,,,,
24114,Vietnam,2017,53,Gap,Target,Kohl's,,,,
37536,Vietnam,2019,53,Gap,Target,Kohl's,,,,
40921,Vietnam,2020,53,Gap,Target,Kohl's,,,,
11898,Vietnam,2015,54,Buckle,G-Star International,PVH,,,,
17775,Vietnam,2016,54,Buckle,G-Star International,PVH,,,,
24797,Vietnam,2017,54,Buckle,G-Star International,PVH,,,,
38314,Vietnam,2020,54,Buckle,G-Star International,PVH,,,,
41279,Vietnam,2021,54,Buckle,G-Star International,PVH,,,,
11053,Vietnam,2015,55,Gap,Victoria secret,Kohl's,,,,
17173,Vietnam,2016,55,Gap,Victoria secret,Kohl's,,,,
22756,Vietnam,2017,55,Gap,Victoria secret,Kohl's,,,,
29933,Vietnam,2018,55,Gap,Victoria secret,Kohl's,,,,
36550,Vietnam,2019,55,Gap,Victoria secret,Kohl's,,,,
40357,Vietnam,2020,55,Gap,Victoria secret,Kohl's,,,,
10967,Jordan,2015,59,Hanesbrands,Fruit of the Loom,New Balance,,,,
15431,Jordan,2016,59,Hanesbrands,Fruit of the Loom,New Balance,,,,
21093,Jordan,2017,59,Hanesbrands,Fruit of the Loom,New Balance,,,,
26191,Jordan,2018,59,Hanesbrands,Fruit of the Loom,New Balance,,,,
33442,Jordan,2019,59,Hanesbrands,Fruit of the Loom,New Balance,,,,
39660,Jordan,2020,59,Hanesbrands,Fruit of the Loom,New Balance,,,,
42548,Jordan,2021,59,Hanesbrands,Fruit of the Loom,New Balance,,,,
8785,Jordan,2015,60,Cintas,Standard,,,,,
14547,Jordan,2016,60,Cintas,Standard,,,,,
21036,Jordan,2017,60,Cintas,Standard,,,,,
27516,Jordan,2018,60,Cintas,Standard,,,,,
34678,Jordan,2019,60,Cintas,Standard,,,,,
8886,Jordan,2015,61,HiTex,,,,,,
15050,Jordan,2016,61,HiTex,,,,,,
19397,Jordan,2017,61,HiTex,,,,,,
26366,Jordan,2018,61,HiTex,,,,,,
33567,Jordan,2019,61,HiTex,,,,,,
41657,Jordan,2021,61,HiTex,,,,,,
10607,Vietnam,2015,62,Ann Taylor,Talbots,Land's End,,,,
16549,Vietnam,2016,62,Ann Taylor,Talbots,Land's End,,,,
22639,Vietnam,2017,62,Ann Taylor,Talbots,Land's End,,,,
30765,Vietnam,2018,62,Ann Taylor,Talbots,Land's End,,,,
38589,Vietnam,2020,62,Ann Taylor,Talbots,Land's End,,,,
41212,Vietnam,2021,62,Ann Taylor,Talbots,Land's End,,,,
11487,Vietnam,2015,63,Under Armour,Ralph Lauren,J.Crew,,,,
18093,Vietnam,2016,63,Under Armour,Ralph Lauren,J.Crew,,,,
24956,Vietnam,2018,63,Under Armour,Ralph Lauren,J.Crew,,,,
31632,Vietnam,2019,63,Under Armour,Ralph Lauren,J.Crew,,,,
39339,Vietnam,2020,63,Under Armour,Ralph Lauren,J.Crew,,,,
41916,Vietnam,2021,63,Under Armour,Ralph Lauren,J.Crew,,,,
11639,Haiti,2015,64,Gildan,,,,,,
17190,Haiti,2016,64,Gildan,,,,,,
22796,Haiti,2017,64,Gildan,,,,,,
30391,Haiti,2018,64,Gildan,,,,,,
35895,Haiti,2019,64,Gildan,,,,,,
10380,Jordan,2015,72,Under Armour,Adidas,,,,,
16169,Jordan,2016,72,Under Armour,Adidas,,,,,
21386,Jordan,2017,72,Under Armour,Adidas,,,,,
28461,Jordan,2018,72,Under Armour,Adidas,,,,,
34843,Jordan,2019,72,Under Armour,Adidas,,,,,
39725,Jordan,2020,72,Under Armour,Adidas,,,,,
8359,Vietnam,2015,74,CATO CORPORATION,"CHARLES KOMAR  and SONS, INC",Figs,,,,
14908,Vietnam,2016,74,CATO CORPORATION,"CHARLES KOMAR  and SONS, INC",Figs,,,,
20447,Vietnam,2017,74,CATO CORPORATION,"CHARLES KOMAR  and SONS, INC",Figs,,,,
27356,Vietnam,2018,74,CATO CORPORATION,"CHARLES KOMAR  and SONS, INC",Figs,,,,
34466,Vietnam,2019,74,CATO CORPORATION,"CHARLES KOMAR  and SONS, INC",Figs,,,,
8689,Vietnam,2015,75,,,,,,,
18042,Vietnam,2016,75,,,,,,,
39243,Vietnam,2020,75,,,,,,,
42177,Vietnam,2021,75,,,,,,,
11341,Vietnam,2015,77,Victoria secret,Walmart,Kohl's,,,,
17170,Vietnam,2016,77,Victoria secret,Walmart,Kohl's,,,,
23212,Vietnam,2017,77,Victoria secret,Walmart,Kohl's,,,,
30184,Vietnam,2018,77,Victoria secret,Walmart,Kohl's,,,,
37200,Vietnam,2019,77,Victoria secret,Walmart,Kohl's,,,,
40760,Vietnam,2020,77,Victoria secret,Walmart,Kohl's,,,,
9921,Vietnam,2015,78,Gap,JC Penney,Kohl's,,,,
16137,Vietnam,2016,78,Gap,JC Penney,Kohl's,,,,
22235,Vietnam,2017,78,Gap,JC Penney,Kohl's,,,,
30124,Vietnam,2018,78,Gap,JC Penney,Kohl's,,,,
37127,Vietnam,2019,78,Gap,JC Penney,Kohl's,,,,
40746,Vietnam,2020,78,Gap,JC Penney,Kohl's,,,,
12398,Vietnam,2015,80,Gap,,,,,,
17845,Vietnam,2016,80,Gap,,,,,,
23889,Vietnam,2017,80,Gap,,,,,,
30565,Vietnam,2018,80,Gap,,,,,,
37614,Vietnam,2019,80,Gap,,,,,,
11342,Vietnam,2015,81,Walmart,Target,,,,,
17022,Vietnam,2016,81,Walmart,Target,,,,,
24344,Vietnam,2017,81,Walmart,Target,,,,,
38490,Vietnam,2020,81,Walmart,Target,,,,,
42186,Vietnam,2021,81,Walmart,Target,,,,,
12366,Vietnam,2015,82,Ann Taylor,Kohl's,JC Penney,,,,
18000,Vietnam,2016,82,Ann Taylor,Kohl's,JC Penney,,,,
24256,Vietnam,2017,82,Ann Taylor,Kohl's,JC Penney,,,,
37924,Vietnam,2020,82,Ann Taylor,Kohl's,JC Penney,,,,
41242,Vietnam,2021,82,Ann Taylor,Kohl's,JC Penney,,,,
9095,Jordan,2015,83,Li & Fung,PRL,Eddie Bauer,,,,
14706,Jordan,2016,83,Li & Fung,PRL,Eddie Bauer,,,,
19779,Jordan,2017,83,Li & Fung,PRL,Eddie Bauer,,,,
26772,Jordan,2018,83,Li & Fung,PRL,Eddie Bauer,,,,
33478,Jordan,2019,83,Li & Fung,PRL,Eddie Bauer,,,,
39546,Jordan,2020,83,Li & Fung,PRL,Eddie Bauer,,,,
8410,Vietnam,2015,84,Puma,Levi's,Fred Perry,,,,
14513,Vietnam,2016,84,Puma,Levi's,Fred Perry,,,,
19922,Vietnam,2017,84,Puma,Levi's,Fred Perry,,,,
26388,Vietnam,2018,84,Puma,Levi's,Fred Perry,,,,
33172,Vietnam,2019,84,Puma,Levi's,Fred Perry,,,,
39327,Vietnam,2020,84,Puma,Levi's,Fred Perry,,,,
42090,Vietnam,2021,84,Puma,Levi's,Fred Perry,,,,
10174,Jordan,2015,85,Walmart,Kmart,JC Penney,,,,
15974,Jordan,2016,85,Walmart,Kmart,JC Penney,,,,
20996,Jordan,2017,85,Walmart,Kmart,JC Penney,,,,
28493,Jordan,2018,85,Walmart,Kmart,JC Penney,,,,
34918,Jordan,2019,85,Walmart,Kmart,JC Penney,,,,
39841,Jordan,2020,85,Walmart,Kmart,JC Penney,,,,
12354,Vietnam,2015,86,H&M,Ascena,Tommy Hilfiger,,,,
17853,Vietnam,2016,86,H&M,Ascena,Tommy Hilfiger,,,,
25308,Vietnam,2018,86,H&M,Ascena,Tommy Hilfiger,,,,
31845,Vietnam,2019,86,H&M,Ascena,Tommy Hilfiger,,,,
38238,Vietnam,2020,86,H&M,Ascena,Tommy Hilfiger,,,,
41727,Vietnam,2021,86,H&M,Ascena,Tommy Hilfiger,,,,
9970,Vietnam,2015,89,Carter's,TJ- Maxx,Abercrombie & Fitch,,,,
16218,Vietnam,2016,89,Carter's,TJ- Maxx,Abercrombie & Fitch,,,,
22633,Vietnam,2017,89,Carter's,TJ- Maxx,Abercrombie & Fitch,,,,
29932,Vietnam,2018,89,Carter's,TJ- Maxx,Abercrombie & Fitch,,,,
37619,Vietnam,2019,89,Carter's,TJ- Maxx,Abercrombie & Fitch,,,,
40740,Vietnam,2020,89,Carter's,TJ- Maxx,Abercrombie & Fitch,,,,
9499,Jordan,2015,90,Jones Apparel,,,,,,
15443,Jordan,2016,90,Jones Apparel,,,,,,
22171,Jordan,2017,90,Jones Apparel,,,,,,
28714,Jordan,2018,90,Jones Apparel,,,,,,
35714,Jordan,2019,90,Jones Apparel,,,,,,
12466,Vietnam,2015,91,Target,VF,Uniqlo,,,,
18063,Vietnam,2017,91,Target,VF,Uniqlo,,,,
24492,Vietnam,2018,91,Target,VF,Uniqlo,,,,
31689,Vietnam,2019,91,Target,VF,Uniqlo,,,,
38487,Vietnam,2020,91,Target,VF,Uniqlo,,,,
41415,Vietnam,2021,91,Target,VF,Uniqlo,,,,
10263,Vietnam,2015,93,Reebok,5.11 Tactical,Puma,,,,
16267,Vietnam,2016,93,Reebok,5.11 Tactical,Puma,,,,
24037,Vietnam,2017,93,Reebok,5.11 Tactical,Puma,,,,
38943,Vietnam,2020,93,Reebok,5.11 Tactical,Puma,,,,
41999,Vietnam,2021,93,Reebok,5.11 Tactical,Puma,,,,
12700,Vietnam,2015,94,New Balance,,,,,,
19180,Vietnam,2017,94,New Balance,,,,,,
28997,Vietnam,2018,94,New Balance,,,,,,
36042,Vietnam,2019,94,New Balance,,,,,,
40790,Vietnam,2020,94,New Balance,,,,,,
8744,Vietnam,2015,95,Costco,Express,American Eagle,,,,
14412,Vietnam,2016,95,Costco,Express,American Eagle,,,,
21266,Vietnam,2017,95,Costco,Express,American Eagle,,,,
28353,Vietnam,2018,95,Costco,Express,American Eagle,,,,
34937,Vietnam,2019,95,Costco,Express,American Eagle,,,,
39836,Vietnam,2020,95,Costco,Express,American Eagle,,,,
8916,Vietnam,2015,101,Kohl's,Walmart,JC Penney,,,,
17978,Vietnam,2016,101,Kohl's,Walmart,JC Penney,,,,
25681,Vietnam,2018,101,Kohl's,Walmart,JC Penney,,,,
11279,Vietnam,2015,102,Gap,Dick's,Tweenbrands,,,,
16483,Vietnam,2016,102,Gap,Dick's,Tweenbrands,,,,
23337,Vietnam,2017,102,Gap,Dick's,Tweenbrands,,,,
29507,Vietnam,2018,102,Gap,Dick's,Tweenbrands,,,,
36568,Vietnam,2019,102,Gap,Dick's,Tweenbrands,,,,
40275,Vietnam,2020,102,Gap,Dick's,Tweenbrands,,,,
27762,Jordan,2018,103,VF,Columbia,PVH,,,,
34622,Jordan,2019,103,VF,Columbia,PVH,,,,
39646,Jordan,2020,103,VF,Columbia,PVH,,,,
43528,Jordan,2021,103,VF,Columbia,PVH,,,,
11714,Vietnam,2015,105,Calvin Klein,Talbots,Gap,,,,
17870,Vietnam,2016,105,Calvin Klein,Talbots,Gap,,,,
24757,Vietnam,2018,105,Calvin Klein,Talbots,Gap,,,,
31646,Vietnam,2019,105,Calvin Klein,Talbots,Gap,,,,
38000,Vietnam,2020,105,Calvin Klein,Talbots,Gap,,,,
41462,Vietnam,2021,105,Calvin Klein,Talbots,Gap,,,,
8702,Vietnam,2015,106,JC Penney,Abercrombie & Fitch,Chaus,,,,
14213,Vietnam,2016,106,JC Penney,Abercrombie & Fitch,Chaus,,,,
20189,Vietnam,2017,106,JC Penney,Abercrombie & Fitch,Chaus,,,,
11701,Jordan,2015,108,Jones Apparel,,,,,,
17191,Jordan,2016,108,Jones Apparel,,,,,,
22166,Jordan,2017,108,Jones Apparel,,,,,,
29064,Jordan,2018,108,Jones Apparel,,,,,,
35951,Jordan,2019,108,Jones Apparel,,,,,,
41734,Jordan,2021,108,Jones Apparel,,,,,,
13114,Jordan,2015,109,Walmart,North face,Sears,,,,
17937,Jordan,2016,109,Walmart,North face,Sears,,,,
23753,Jordan,2017,109,Walmart,North face,Sears,,,,
30598,Jordan,2018,109,Walmart,North face,Sears,,,,
37014,Jordan,2019,109,Walmart,North face,Sears,,,,
40951,Jordan,2020,109,Walmart,North face,Sears,,,,
8693,Vietnam,2015,110,Nike,Justice,,,,,
14679,Vietnam,2016,110,Nike,Justice,,,,,
20490,Vietnam,2017,110,Nike,Justice,,,,,
27347,Vietnam,2018,110,Nike,Justice,,,,,
34234,Vietnam,2019,110,Nike,Justice,,,,,
39458,Vietnam,2020,110,Nike,Justice,,,,,
42376,Vietnam,2021,110,Nike,Justice,,,,,
8730,Vietnam,2015,111,Adidas,Decathlon,Nike,,,,
12547,Vietnam,2015,111,Adidas,Decathlon,Nike,,,,
19048,Vietnam,2017,111,Adidas,Decathlon,Nike,,,,
26941,Vietnam,2018,111,Adidas,Decathlon,Nike,,,,
33256,Vietnam,2019,111,Adidas,Decathlon,Nike,,,,
39353,Vietnam,2020,111,Adidas,Decathlon,Nike,,,,
42431,Vietnam,2021,111,Adidas,Decathlon,Nike,,,,
12810,Jordan,2015,112,Under Armour,American Eagle,Spider,,,,
17838,Jordan,2016,112,Under Armour,American Eagle,Spider,,,,
23829,Jordan,2017,112,Under Armour,American Eagle,Spider,,,,
30620,Jordan,2018,112,Under Armour,American Eagle,Spider,,,,
37413,Jordan,2019,112,Under Armour,American Eagle,Spider,,,,
42375,Jordan,2021,112,Under Armour,American Eagle,Spider,,,,
8212,Jordan,2015,112,,,,,,,
14617,Cambodia,2016,117,,,,,,,
20614,Cambodia,2017,117,,,,,,,
28324,Cambodia,2018,117,,,,,,,
34090,Cambodia,2019,117,,,,,,,
8616,Vietnam,2015,118,Levis,Abercrombie & Fitch,Uniqlo,,,,
14511,Vietnam,2016,118,Levis,Abercrombie & Fitch,Uniqlo,,,,
20288,Vietnam,2017,118,Levis,Abercrombie & Fitch,Uniqlo,,,,
29147,Vietnam,2018,118,Levis,Abercrombie & Fitch,Uniqlo,,,,
35759,Vietnam,2019,118,Levis,Abercrombie & Fitch,Uniqlo,,,,
40244,Vietnam,2020,118,Levis,Abercrombie & Fitch,Uniqlo,,,,
13145,Cambodia,2016,119,,,,,,,
9208,Cambodia,2015,120,,,,,,,
8514,Vietnam,2015,121,Nike,Columbia,Imperial Headwear,,,,
14332,Vietnam,2016,121,Nike,Columbia,Imperial Headwear,,,,
20204,Vietnam,2017,121,Nike,Columbia,Imperial Headwear,,,,
27605,Vietnam,2018,121,Nike,Columbia,Imperial Headwear,,,,
34355,Vietnam,2019,121,Nike,Columbia,Imperial Headwear,,,,
39554,Vietnam,2020,121,Nike,Columbia,Imperial Headwear,,,,
10373,Vietnam,2015,124,Target,Carter's,Kohl's,,,,
16925,Vietnam,2016,124,Target,Carter's,Kohl's,,,,
22991,Vietnam,2017,124,Target,Carter's,Kohl's,,,,
19031,Vietnam,2017,125,Macys,Gap,,,,,
25948,Vietnam,2018,125,Macys,Gap,,,,,
33012,Vietnam,2019,125,Macys,Gap,,,,,
39310,Vietnam,2020,125,Macys,Gap,,,,,
42009,Vietnam,2021,125,Macys,Gap,,,,,
12185,Jordan,2015,126,Under Armour,American Eagle,Spider,,,,
17070,Jordan,2016,126,Under Armour,American Eagle,Spider,,,,
22432,Jordan,2017,126,Under Armour,American Eagle,Spider,,,,
30097,Jordan,2018,126,Under Armour,American Eagle,Spider,,,,
36658,Jordan,2019,126,Under Armour,American Eagle,Spider,,,,
41776,Jordan,2021,126,Under Armour,American Eagle,Spider,,,,
18797,Vietnam,2017,129,BCBG Maxazria Inc,Charming Shoppes Inc.,American Eagle,,,,
8700,Vietnam,2015,130,Reebok,Walmart,Sears,,,,
13942,Vietnam,2016,130,Reebok,Walmart,Sears,,,,
19412,Vietnam,2017,130,Reebok,Walmart,Sears,,,,
9528,Haiti,2015,131,Fishman & Tobin,,,,,,
14355,Haiti,2016,131,Fishman & Tobin,,,,,,
20283,Haiti,2017,131,Fishman & Tobin,,,,,,
26812,Haiti,2018,131,Fishman & Tobin,,,,,,
34959,Haiti,2019,131,Fishman & Tobin,,,,,,
12195,Haiti,2015,139,,,,,,,
8214,Haiti,2015,139,,,,,,,
12614,Jordan,2015,141,Jones Apparel,,,,,,
17509,Jordan,2016,141,Jones Apparel,,,,,,
23415,Jordan,2017,141,Jones Apparel,,,,,,
30206,Jordan,2018,141,Jones Apparel,,,,,,
36776,Jordan,2019,141,Jones Apparel,,,,,,
42560,Jordan,2021,141,Jones Apparel,,,,,,
10050,Haiti,2015,142,Hanesbrands,Old Navy,,,,,
15415,Haiti,2016,142,Hanesbrands,Old Navy,,,,,
20584,Haiti,2017,142,Hanesbrands,Old Navy,,,,,
27782,Haiti,2018,142,Hanesbrands,Old Navy,,,,,
34810,Haiti,2019,142,Hanesbrands,Old Navy,,,,,
10013,Haiti,2015,143,Under Armour,Old Navy,Hanesbrands ,,,,
15274,Haiti,2016,143,Under Armour,Old Navy,Hanesbrands ,,,,
20298,Haiti,2017,143,Under Armour,Old Navy,Hanesbrands ,,,,
27874,Haiti,2018,143,Under Armour,Old Navy,Hanesbrands ,,,,
35462,Haiti,2019,143,Under Armour,Old Navy,Hanesbrands ,,,,
12715,Haiti,2015,147,,,,,,,
10955,Vietnam,2015,148,Nike,PVH,Sumitomo,,,,
16554,Vietnam,2016,148,Nike,PVH,Sumitomo,,,,
23098,Vietnam,2017,148,Nike,PVH,Sumitomo,,,,
13573,Vietnam,2016,154,Tommy Hilfiger,Nike,Ralph Lauren,,,,
18631,Vietnam,2017,154,Tommy Hilfiger,Nike,Ralph Lauren,,,,
25542,Vietnam,2018,154,Tommy Hilfiger,Nike,Ralph Lauren,,,,
39609,Vietnam,2020,154,Tommy Hilfiger,Nike,Ralph Lauren,,,,
9229,Vietnam,2015,155,Nike,Carter's,Columbia,,,,
15706,Vietnam,2016,155,Nike,Carter's,Columbia,,,,
22425,Vietnam,2017,155,Nike,Carter's,Columbia,,,,
30084,Vietnam,2018,155,Nike,Carter's,Columbia,,,,
37206,Vietnam,2019,155,Nike,Carter's,Columbia,,,,
41045,Vietnam,2021,155,Nike,Carter's,Columbia,,,,
14271,Vietnam,2016,158,H&M,Target,Perry Ellis,,,,
19763,Vietnam,2017,158,H&M,Target,Perry Ellis,,,,
26790,Vietnam,2018,158,H&M,Target,Perry Ellis,,,,
34164,Vietnam,2019,158,H&M,Target,Perry Ellis,,,,
39446,Vietnam,2020,158,H&M,Target,Perry Ellis,,,,
8732,Vietnam,2015,163,LLBean,Nike,North Face,,,,
14719,Vietnam,2016,163,LLBean,Nike,North Face,,,,
23755,Vietnam,2017,163,LLBean,Nike,North Face,,,,
8297,Vietnam,2015,164,Kohl's,Walmart,Target,,,,
14021,Vietnam,2016,164,Kohl's,Walmart,Target,,,,
19589,Vietnam,2017,164,Kohl's,Walmart,Target,,,,
26096,Vietnam,2018,164,Kohl's,Walmart,Target,,,,
33546,Vietnam,2019,164,Kohl's,Walmart,Target,,,,
39332,Vietnam,2020,164,Kohl's,Walmart,Target,,,,
42161,Vietnam,2021,164,Kohl's,Walmart,Target,,,,
8286,Vietnam,2015,165,Dillards,TMW,JC Penney,,,,
13857,Vietnam,2016,165,Dillards,TMW,JC Penney,,,,
19835,Vietnam,2017,165,Dillards,TMW,JC Penney,,,,
26409,Vietnam,2018,165,Dillards,TMW,JC Penney,,,,
9748,Vietnam,2015,166,Victoria secret,Walmart,Gap,,,,
17467,Vietnam,2016,166,Victoria secret,Walmart,Gap,,,,
23932,Vietnam,2017,166,Victoria secret,Walmart,Gap,,,,
38252,Vietnam,2020,166,Victoria secret,Walmart,Gap,,,,
41026,Vietnam,2020,166,Victoria secret,Walmart,Gap,,,,
11700,Vietnam,2015,167,Kohl's,H&M,Target,,,,
17316,Vietnam,2016,167,Kohl's,H&M,Target,,,,
